ID-Anforderung;Titel;Inhalt;Typ
APP.3.1.A1;Authentisierung;Der IT-Betrieb MUSS Webanwendungen und Webservices so konfigurieren, dass sich Clients gegenüber der Webanwendung oder dem Webservice authentisieren müssen, wenn diese auf geschützte Ressourcen zugreifen wollen.;Basis
APP.3.1.A1;Authentisierung;Dafür MUSS eine angemessene Authentisierungsmethode ausgewählt werden.;Basis
APP.3.1.A1;Authentisierung;Der Auswahlprozess SOLLTE dokumentiert werden.;Basis
APP.3.1.A1;Authentisierung;Der IT-Betrieb MUSS geeignete Grenzwerte für fehlgeschlagene Anmeldeversuche festlegen.;Basis
APP.3.1.A2;ENTFALLEN;Diese Anforderung ist entfallen.;Basis
APP.3.1.A3;ENTFALLEN;Diese Anforderung ist entfallen.;Basis
APP.3.1.A4;Kontrolliertes Einbinden von Dateien und Inhalten;Falls eine Webanwendung oder ein Webservice eine Upload-Funktion für Dateien anbietet, MUSS diese Funktion durch den IT-Betrieb so weit wie möglich eingeschränkt werden.;Basis
APP.3.1.A4;Kontrolliertes Einbinden von Dateien und Inhalten;Insbesondere MÜSSEN die erlaubte Dateigröße, erlaubte Dateitypen und erlaubte Speicherorte festgelegt werden.;Basis
APP.3.1.A4;Kontrolliertes Einbinden von Dateien und Inhalten;Es MUSS festgelegt werden, welche Clients die Funktion verwenden dürfen.;Basis
APP.3.1.A4;Kontrolliertes Einbinden von Dateien und Inhalten;Auch MÜSSEN Zugriffs- und Ausführungsrechte restriktiv gesetzt werden.;Basis
APP.3.1.A4;Kontrolliertes Einbinden von Dateien und Inhalten;Zudem MUSS sichergestellt werden, dass Clients Dateien nur im vorgegebenen erlaubten Speicherort speichern können.;Basis
APP.3.1.A5;ENTFALLEN;Diese Anforderung ist entfallen.;Basis
APP.3.1.A6;ENTFALLEN;Diese Anforderung ist entfallen.;Basis
APP.3.1.A7;Schutz vor unerlaubter automatisierter Nutzung;Der IT-Betrieb MUSS sicherstellen, dass Webanwendungen und Webservices vor unberechtigter automatisierter Nutzung geschützt werden.;Basis
APP.3.1.A7;Schutz vor unerlaubter automatisierter Nutzung;Dabei MUSS jedoch berücksichtigt werden, wie sich die Schutzmechanismen auf die Nutzungsmöglichkeiten berechtigter Clients auswirken.;Basis
APP.3.1.A7;Schutz vor unerlaubter automatisierter Nutzung;Wenn die Webanwendung RSS-Feeds oder andere Funktionen enthält, die explizit für die automatisierte Nutzung vorgesehen sind, MUSS dies ebenfalls bei der Konfiguration der Schutzmechanismen berücksichtigt werden.;Basis
APP.3.1.A14;Schutz vertraulicher Daten;Der IT-Betrieb MUSS sicherstellen, dass Zugangsdaten zur Webanwendung oder zum Webservice serverseitig mithilfe von sicheren kryptografischen Algorithmen vor unbefugtem Zugriff geschützt werden.;Basis
APP.3.1.A14;Schutz vertraulicher Daten;Dazu MÜSSEN Salted Hash-Verfahren verwendet werden.;Basis
APP.3.1.A14;Schutz vertraulicher Daten;Die Dateien mit den Quelltexten der Webanwendung oder des Webservices MÜSSEN vor unerlaubten Abrufen geschützt werden.;Basis
APP.3.1.A16;ENTFALLEN;Diese Anforderung ist entfallen.;Basis
APP.3.1.A19;ENTFALLEN;Diese Anforderung ist entfallen.;Basis
APP.3.1.A8;Systemarchitektur;Sicherheitsaspekte SOLLTEN bereits während der Planung von Webanwendungen und Webservices betrachtet werden.;Standard
APP.3.1.A8;Systemarchitektur;Auch SOLLTE darauf geachtet werden, dass die Architektur der Webanwendung oder des Webservice die Geschäftslogik der Institution exakt erfasst und korrekt umsetzt.;Standard
APP.3.1.A9;Beschaffung von Webanwendungen und Webservices;Zusätzlich zu den allgemeinen Aspekten der Beschaffung von Software SOLLTE die Institution mindestens folgendes bei der Beschaffung von Webanwendungen und Webservices berücksichtigen:;Standard
APP.3.1.A9;Beschaffung von Webanwendungen und Webservices;sichere Eingabevalidierung und Ausgabekodierung,;Standard
APP.3.1.A9;Beschaffung von Webanwendungen und Webservices;sicheres Session-Management,;Standard
APP.3.1.A9;Beschaffung von Webanwendungen und Webservices;sichere kryptografische Verfahren,;Standard
APP.3.1.A9;Beschaffung von Webanwendungen und Webservices;sichere Authentisierungsverfahren,;Standard
APP.3.1.A9;Beschaffung von Webanwendungen und Webservices;sichere Verfahren zum serverseitigen Speichern von Zugangsdaten,;Standard
APP.3.1.A9;Beschaffung von Webanwendungen und Webservices;geeignetes Berechtigungsmanagement,;Standard
APP.3.1.A9;Beschaffung von Webanwendungen und Webservices;ausreichende Protokollierungsmöglichkeiten,;Standard
APP.3.1.A9;Beschaffung von Webanwendungen und Webservices;regelmäßige Sicherheitsupdates durch den Entwickelnden der Software,;Standard
APP.3.1.A9;Beschaffung von Webanwendungen und Webservices;Schutzmechanismen vor verbreiteten Angriffen auf Webanwendungen und Webservices sowie;Standard
APP.3.1.A9;Beschaffung von Webanwendungen und Webservices;Zugriff auf den Quelltext der Webanwendung oder des Webservices.;Standard
APP.3.1.A10;ENTFALLEN;Diese Anforderung ist entfallen.;Standard
APP.3.1.A11;Sichere Anbindung von Hintergrundsystemen;Der Zugriff auf Hintergrundsysteme, auf denen Funktionen und Daten ausgelagert werden, SOLLTE ausschließlich über definierte Schnittstellen und von definierten IT-Systemen aus möglich sein.;Standard
APP.3.1.A11;Sichere Anbindung von Hintergrundsystemen;Bei der Kommunikation über Netz- und Standortgrenzen hinweg SOLLTE der Datenverkehr authentisiert und verschlüsselt werden.;Standard
APP.3.1.A12;Sichere Konfiguration;Webanwendungen und Webservices SOLLTEN so konfiguriert sein, dass auf ihre Ressourcen und Funktionen ausschließlich über die vorgesehenen, abgesicherten Kommunikationspfade zugegriffen werden kann.;Standard
APP.3.1.A12;Sichere Konfiguration;Der Zugriff auf nicht benötigte Ressourcen und Funktionen SOLLTE deaktiviert werden.;Standard
APP.3.1.A12;Sichere Konfiguration;Falls dies nicht möglich ist, SOLLTE der Zugriff soweit wie möglich eingeschränkt werden.;Standard
APP.3.1.A12;Sichere Konfiguration;Folgendes SOLLTE bei der Konfiguration von Webanwendungen und Webservices umgesetzt werden:;Standard
APP.3.1.A12;Sichere Konfiguration;Deaktivieren nicht benötigter HTTP-Methoden,;Standard
APP.3.1.A12;Sichere Konfiguration;Konfigurieren der Zeichenkodierung,;Standard
APP.3.1.A12;Sichere Konfiguration;Vermeiden von sicherheitsrelevanten Informationen in Fehlermeldungen und Antworten,;Standard
APP.3.1.A12;Sichere Konfiguration;Speichern von Konfigurationsdateien außerhalb des Web-Root-Verzeichnisses sowie;Standard
APP.3.1.A12;Sichere Konfiguration;Festlegen von Grenzwerten für Zugriffsversuche.;Standard
APP.3.1.A13;ENTFALLEN;Diese Anforderung ist entfallen.;Standard
APP.3.1.A15;ENTFALLEN;Diese Anforderung ist entfallen.;Standard
APP.3.1.A17;ENTFALLEN;Diese Anforderung ist entfallen.;Standard
APP.3.1.A18;ENTFALLEN;Diese Anforderung ist entfallen.;Standard
APP.3.1.A21;Sichere HTTP-Konfiguration bei Webanwendungen;Zum Schutz vor Clickjacking, Cross-Site-Scripting und anderen Angriffen SOLLTE der IT-Betrieb geeignete HTTP-Response-Header setzen.;Standard
APP.3.1.A21;Sichere HTTP-Konfiguration bei Webanwendungen;Dazu SOLLTEN mindestens die folgenden HTTP-Header verwendet werden:;Standard
APP.3.1.A21;Sichere HTTP-Konfiguration bei Webanwendungen;Content-Security-Policy,;Standard
APP.3.1.A21;Sichere HTTP-Konfiguration bei Webanwendungen;Strict-Transport-Security,;Standard
APP.3.1.A21;Sichere HTTP-Konfiguration bei Webanwendungen;Content-Type,;Standard
APP.3.1.A21;Sichere HTTP-Konfiguration bei Webanwendungen;X-Content-Type-Options sowie;Standard
APP.3.1.A21;Sichere HTTP-Konfiguration bei Webanwendungen;Cache-Control.;Standard
APP.3.1.A21;Sichere HTTP-Konfiguration bei Webanwendungen;Die verwendeten HTTP-Header SOLLTEN so restriktiv wie möglich sein.;Standard
APP.3.1.A21;Sichere HTTP-Konfiguration bei Webanwendungen;Cookies SOLLTEN grundsätzlich mit den Attributen secure, SameSite und httponly gesetzt werden.;Standard
APP.3.1.A22;Penetrationstest und Revision;Webanwendungen und Webservices SOLLTEN regelmäßig auf Sicherheitsprobleme hin überprüft werden.;Standard
APP.3.1.A22;Penetrationstest und Revision;Insbesondere SOLLTEN regelmäßig Revisionen durchgeführt werden.;Standard
APP.3.1.A22;Penetrationstest und Revision;Die Ergebnisse SOLLTEN nachvollziehbar dokumentiert, ausreichend geschützt und vertraulich behandelt werden.;Standard
APP.3.1.A22;Penetrationstest und Revision;Abweichungen SOLLTE nachgegangen werden.;Standard
APP.3.1.A22;Penetrationstest und Revision;Die Ergebnisse SOLLTEN dem ISB vorgelegt werden.;Standard
APP.3.1.A23;ENTFALLEN;Diese Anforderung ist entfallen.;Standard
APP.3.1.A20;Einsatz von Web Application Firewalls;Institutionen SOLLTEN Web Application Firewalls (WAF) einsetzen.;Hoch
APP.3.1.A20;Einsatz von Web Application Firewalls;Die Konfiguration der eingesetzten WAF SOLLTE auf die zu schützende Webanwendung oder den Webservice angepasst werden.;Hoch
APP.3.1.A20;Einsatz von Web Application Firewalls;Nach jedem Update der Webanwendung oder des Webservices SOLLTE die Konfiguration der WAF geprüft werden.;Hoch
APP.3.1.A24;ENTFALLEN;Diese Anforderung ist entfallen.;Hoch
APP.3.1.A25;ENTFALLEN;Diese Anforderung ist entfallen.;Hoch
