ID-Anforderung;Titel;Inhalt;Typ
DER.2.2.A1;Prüfung rechtlicher und regulatorischer Rahmenbedingungen zur Erfassung und Auswertbarkeit;Werden Daten für forensische Untersuchungen erfasst und ausgewertet, MÜSSEN alle rechtlichen und regulatorischen Rahmenbedingungen identifiziert und eingehalten werden (siehe ORP.5 Compliance Management (Anforderungsmanagement)).;Basis
DER.2.2.A1;Prüfung rechtlicher und regulatorischer Rahmenbedingungen zur Erfassung und Auswertbarkeit;Auch DARF NICHT gegen interne Regelungen und Mitarbeitendenvereinbarungen verstoßen werden.;Basis
DER.2.2.A1;Prüfung rechtlicher und regulatorischer Rahmenbedingungen zur Erfassung und Auswertbarkeit;Dazu MÜSSEN der Betriebs- oder Personalrat sowie der oder die Datenschutzbeauftragte einbezogen werden.;Basis
DER.2.2.A2;Erstellung eines Leitfadens für Erstmaßnahmen bei einem IT-Sicherheitsvorfall;Es MUSS ein Leitfaden erstellt werden, der für die eingesetzten IT-Systeme beschreibt, welche Erstmaßnahmen bei einem IT-Sicherheitsvorfall durchgeführt werden müssen, um möglichst wenig Spuren zu zerstören.;Basis
DER.2.2.A2;Erstellung eines Leitfadens für Erstmaßnahmen bei einem IT-Sicherheitsvorfall;Darin MUSS auch beschrieben sein, durch welche Handlungen potenzielle Spuren vernichtet werden könnten und wie sich das vermeiden lässt.;Basis
DER.2.2.A3;Vorauswahl von Forensik-Dienstleistenden;Verfügt eine Institution nicht über ein eigenes Forensik-Team, MÜSSEN bereits in der Vorbereitungsphase mögliche geeignete Forensik-Dienstleistenden identifiziert werden.;Basis
DER.2.2.A3;Vorauswahl von Forensik-Dienstleistenden;Welche Forensik-Dienstleistende infrage kommen, MUSS dokumentiert werden.;Basis
DER.2.2.A4;Festlegung von Schnittstellen zum Krisen- und Notfallmanagement;Die Schnittstellen zwischen IT-forensischen Untersuchungen und dem Krisen- und Notfallmanagement SOLLTEN definiert und dokumentiert werden.;Standard
DER.2.2.A4;Festlegung von Schnittstellen zum Krisen- und Notfallmanagement;Hierzu SOLLTE geregelt werden, welche Mitarbeitenden für welche Aufgaben verantwortlich sind und wie mit ihnen kommuniziert werden soll.;Standard
DER.2.2.A4;Festlegung von Schnittstellen zum Krisen- und Notfallmanagement;Darüber hinaus SOLLTE sichergestellt werden, dass die zuständigen Kontaktpersonen stets erreichbar sind.;Standard
DER.2.2.A5;Erstellung eines Leitfadens für Beweissicherungsmaßnahmen bei IT-Sicherheitsvorfällen;Es SOLLTE ein Leitfaden erstellt werden, in dem beschrieben wird, wie Beweise gesichert werden sollen.;Standard
DER.2.2.A5;Erstellung eines Leitfadens für Beweissicherungsmaßnahmen bei IT-Sicherheitsvorfällen;Darin SOLLTEN Vorgehensweisen, technische Werkzeuge, rechtliche Rahmenbedingungen und Dokumentationsvorgaben aufgeführt werden.;Standard
DER.2.2.A6;Schulung des Personals für die Umsetzung der forensischen Sicherung;Alle verantwortlichen Mitarbeitenden SOLLTEN wissen, wie sie Spuren korrekt sichern und die Werkzeuge zur Forensik richtig einsetzen.;Standard
DER.2.2.A6;Schulung des Personals für die Umsetzung der forensischen Sicherung;Dafür SOLLTEN geeignete Schulungen durchgeführt werden.;Standard
DER.2.2.A7;Auswahl von Werkzeugen zur Forensik;Es SOLLTE sichergestellt werden, dass Werkzeuge, mit denen Spuren forensisch gesichert und analysiert werden, auch dafür geeignet sind.;Standard
