ID-Anforderung;Titel;Inhalt;Typ
IND.1.A1;Einbindung in die Sicherheitsorganisation;Ein Managementsystem für Informationssicherheit (ISMS) für den Betrieb der OT-Infrastruktur MUSS entweder als selbständiges ISMS oder als Teil eines Gesamt-ISMS existieren.;Basis
IND.1.A1;Einbindung in die Sicherheitsorganisation;Eine gesamtverantwortliche Person für die Informationssicherheit im OT-Bereich MUSS benannt werden.;Basis
IND.1.A1;Einbindung in die Sicherheitsorganisation;Er oder sie MUSS innerhalb der Institution bekannt gegeben werden.;Basis
IND.1.A2;ENTFALLEN;Diese Anforderung ist entfallen.;Basis
IND.1.A3;Schutz vor Schadprogrammen;Beim Einsatz von Virenschutz-Software auf OT-Komponenten MUSS berücksichtigt werden, ob und in welcher Konfiguration der Betrieb von Virenschutz-Software vom herstellenden Unternehmen unterstützt wird.;Basis
IND.1.A3;Schutz vor Schadprogrammen;Ist dies nicht der Fall, MUSS der Bedarf an alternativen Schutzverfahren geprüft werden.;Basis
IND.1.A3;Schutz vor Schadprogrammen;Die Virensignaturen DÜRFEN NICHT von OT-Systemen direkt aus dem Internet bezogen werden.;Basis
IND.1.A18;Protokollierung;Jede Änderung an ICS-Komponenten MUSS protokolliert werden.;Basis
IND.1.A18;Protokollierung;Außerdem MÜSSEN alle Zugriffe auf ICS-Komponenten protokolliert werden.;Basis
IND.1.A19;Erstellung von Datensicherungen;Programme und Daten MÜSSEN regelmäßig gesichert werden.;Basis
IND.1.A19;Erstellung von Datensicherungen;Auch nach jeder Systemänderung an OT-Komponenten MUSS eine Sicherung erstellt werden.;Basis
IND.1.A4;Dokumentation der OT-Infrastruktur;Alle sicherheitsrelevanten Parameter der OT-Infrastruktur SOLLTEN dokumentiert sein.;Standard
IND.1.A4;Dokumentation der OT-Infrastruktur;In einem Bestandsverzeichnis SOLLTEN alle Software- und Systemkomponenten geführt werden.;Standard
IND.1.A4;Dokumentation der OT-Infrastruktur;Hieraus SOLLTEN die eingesetzten Produkt- und Protokollversionen sowie die Zuständigkeiten hervorgehen.;Standard
IND.1.A4;Dokumentation der OT-Infrastruktur;Zu den eingesetzten Komponenten SOLLTEN eventuelle Restriktionen der herstellenden Unternehmen oder regulatorische Auflagen bestimmt sein.;Standard
IND.1.A4;Dokumentation der OT-Infrastruktur;Diese Dokumentation und ein Systeminventar SOLLTEN beispielsweise in einem Leitsystem geführt werden.;Standard
IND.1.A4;Dokumentation der OT-Infrastruktur;Zusätzlich SOLLTE ein aktueller Netzplan Zonen, Zonenübergänge (Conduits), eingesetzte Kommunikationsprotokolle und -verfahren sowie Außenschnittstellen dokumentieren.;Standard
IND.1.A4;Dokumentation der OT-Infrastruktur;Bei den Schnittstellen SOLLTEN aktive Netzkomponenten und manuelle Datentransferverfahren, z. B. durch Wechseldatenträger, berücksichtigt werden.;Standard
IND.1.A4;Dokumentation der OT-Infrastruktur;Zonen und Conduits schützen die OT-Infrastrukur, indem die Automatisierungslösung in Zellen und Kommunikationskanälen strukturiert werden SOLLTE.;Standard
IND.1.A5;Entwicklung eines geeigneten Zonenkonzepts;Die OT-Infrastruktur SOLLTE auch horizontal in unabhängige Funktionsbereiche, wie etwa Anlagen, segmentiert werden.;Standard
IND.1.A5;Entwicklung eines geeigneten Zonenkonzepts;Die einzelnen Zonen SOLLTEN, so weit wie möglich, im Betrieb voneinander unabhängig sein.;Standard
IND.1.A5;Entwicklung eines geeigneten Zonenkonzepts;Insbesondere die Zonen, in denen der technische Prozess gesteuert wird, SOLLTEN bei einem Ausfall der anderen Zonen für einen gewissen Zeitraum weiter funktionstüchtig sein.;Standard
IND.1.A5;Entwicklung eines geeigneten Zonenkonzepts;Auch SOLLTE die Abkopplung nach einem Angriff weiter funktionieren.;Standard
IND.1.A5;Entwicklung eines geeigneten Zonenkonzepts;Dieser Zeitraum SOLLTE geeignet definiert und dokumentiert werden.;Standard
IND.1.A5;Entwicklung eines geeigneten Zonenkonzepts;Das Netz SOLLTE manipulations- und fehlerresistent konzipiert werden.;Standard
IND.1.A6;Änderungsmanagement im OT-Betrieb;Für Änderungen an der OT SOLLTE ein eigener Änderungsprozess definiert, dokumentiert und gelebt werden.;Standard
IND.1.A7;Etablieren einer übergreifenden Berechtigungsverwaltung zwischen der OT und in der Office-IT;Die Institution SOLLTE einen Prozess zur Verwaltung von Zugängen und zugeordneten Berechtigungen für den Zugriff auf die OT etablieren.;Standard
IND.1.A7;Etablieren einer übergreifenden Berechtigungsverwaltung zwischen der OT und in der Office-IT;Die Berechtigungsverwaltung SOLLTE den Prozess, die Durchführung und die Dokumentation für die Beantragung, Einrichtung und den Entzug von Berechtigungen umfassen.;Standard
IND.1.A7;Etablieren einer übergreifenden Berechtigungsverwaltung zwischen der OT und in der Office-IT;Die Berechtigungsverwaltung SOLLTE gewährleisten, dass Berechtigungen nach dem Minimalprinzip vergeben und regelmäßig überprüft werden.;Standard
