ID-Anforderung;Titel;Inhalt;Typ
IND.3.2.A1;Planung des Einsatzes der Fernwartung in der OT;Im industriellen Umfeld MUSS für sämtliche Einrichtungen zur Fernwartung ein einheitliches, zentrales Fernwartungskonzept für die gesamte OT der Institution erstellt werden.;Basis
IND.3.2.A1;Planung des Einsatzes der Fernwartung in der OT;In dem OT-Fernwartungskonzept MÜSSEN folgende Aspekte berücksichtigt werden:;Basis
IND.3.2.A1;Planung des Einsatzes der Fernwartung in der OT;spezifische gesetzliche Vorgaben, z. B. Schutz von Personen,;Basis
IND.3.2.A1;Planung des Einsatzes der Fernwartung in der OT;spezifische Vorgaben durch anlagenherstellende Unternehmen,;Basis
IND.3.2.A1;Planung des Einsatzes der Fernwartung in der OT;spezifische Anforderungen durch dezentrale Infrastrukturen,;Basis
IND.3.2.A1;Planung des Einsatzes der Fernwartung in der OT;spezifische Anforderungen an die Anbindungen für die Fernwartung,;Basis
IND.3.2.A1;Planung des Einsatzes der Fernwartung in der OT;spezifische Anforderungen an die Verfügbarkeit der Fernwartung,;Basis
IND.3.2.A1;Planung des Einsatzes der Fernwartung in der OT;spezifische Anforderungen durch Umgebungsbedingungen sowie;Basis
IND.3.2.A1;Planung des Einsatzes der Fernwartung in der OT;spezifische Anforderungen durch Bestandsanlagen.;Basis
IND.3.2.A1;Planung des Einsatzes der Fernwartung in der OT;Alle diese Aspekte MÜSSEN mit sämtlichen beteiligten internen und externen Stellen abgestimmt werden.;Basis
IND.3.2.A1;Planung des Einsatzes der Fernwartung in der OT;Sämtliche Fernwartungszugänge, über die Zugriffe auf ein ICS der Institution möglich sind, MÜSSEN in einer zentralen Dokumentation erfasst werden.;Basis
IND.3.2.A1;Planung des Einsatzes der Fernwartung in der OT;Für neu anzuschaffende fernwartbare Maschinen MÜSSEN die Anforderungen an die Informationssicherheit mit den Liefernden abgestimmt werden.;Basis
IND.3.2.A1;Planung des Einsatzes der Fernwartung in der OT;Das Ziel SOLLTE eine Standardisierung der verwendeten Fernwartungslösungen sein.;Basis
IND.3.2.A1;Planung des Einsatzes der Fernwartung in der OT;Sobald standardisierte Lösungen für die Fernwartung geplant werden, MÜSSEN sich die OT und die Büro- und Gebäude-IT gemeinsam abstimmen.;Basis
IND.3.2.A2;Konsistente Dokumentation der Fernwartung durch OT sowie Büro- und Gebäude-IT;Im industriellen Umfeld MÜSSEN die OT und die Büro- und Gebäude-IT sämtliche OT-Fernwartungszugänge gemeinsam erfassen und dokumentieren.;Basis
IND.3.2.A2;Konsistente Dokumentation der Fernwartung durch OT sowie Büro- und Gebäude-IT;Insbesondere bei Fernwartungskomponenten, die in Package Units integriert sind, MÜSSEN auch alle deaktivierten Zugänge dokumentiert werden.;Basis
IND.3.2.A3;Regelmäßige Prüfungen sowie Ausnahmegenehmigungen bestehender OT-Fernwartungszugänge;Sämtliche Anlagen MÜSSEN regelmäßig geprüft werden, ob alle ihre Fernwartungszugänge dem Soll-Zustand, d. h. dem aktuellen Fernwartungskonzept für die OT, entsprechen.;Basis
IND.3.2.A3;Regelmäßige Prüfungen sowie Ausnahmegenehmigungen bestehender OT-Fernwartungszugänge;Für notwendige Abweichungen vom Konzept MUSS innerhalb der OT ein Genehmigungsprozess etabliert werden.;Basis
IND.3.2.A4;Verbindliche Regelung der OT-Fernwartung durch Dritte;Mit sämtlichen externen Benutzenden, d. h. herstellenden Unternehmen, Integratoren und Wartungsdienstleistenden, MÜSSEN angemessen restriktive Regelungen für die OT-Fernwartung vertraglich vereinbart werden.;Basis
IND.3.2.A4;Verbindliche Regelung der OT-Fernwartung durch Dritte;Diese vertraglichen Regelungen MÜSSEN zu jedem Zeitpunkt gewährleisten, dass externe Benutzende jegliche OT-Fernwartungszugänge ausschließlich kontrolliert und abgestimmt nutzen.;Basis
IND.3.2.A4;Verbindliche Regelung der OT-Fernwartung durch Dritte;Intern MUSS festgelegt werden, über welche Fernwartungszugänge welche Tätigkeiten durch welche externen Benutzenden zulässig sind.;Basis
IND.3.2.A4;Verbindliche Regelung der OT-Fernwartung durch Dritte;Darüber hinaus MUSS festgelegt werden, welche internen Mitarbeitende Fernwartungszugriffe und -tätigkeiten von Externen autorisieren, beobachten und gegebenenfalls unterstützen.;Basis
