ID-Anforderung;Titel;Inhalt;Typ
INF.14.A1;Planung der Gebäudeautomation;Für die von der Gebäudeautomation (GA) gesteuerten Gewerke MUSS festgelegt werden, wie die GA sicher gestaltet werden kann.;Basis
INF.14.A1;Planung der Gebäudeautomation;Die GA MUSS bereits bei der Planung von Neubau, Umbau, Erweiterung und Sanierung eines Gebäudes berücksichtigt werden.;Basis
INF.14.A1;Planung der Gebäudeautomation;Daher MUSS die GA in den Planungs- und Bauprozessen, auch in Verbindung mit Building Information Modeling (BIM), für alle GA-relevanten Komponenten und TGA-Anlagen berücksichtigt werden.;Basis
INF.14.A1;Planung der Gebäudeautomation;Im Rahmen der GA-Planung MÜSSEN die einzurichtenden GA-Systeme spezifiziert werden.;Basis
INF.14.A1;Planung der Gebäudeautomation;Es MUSS festgelegt werden, in welchem Umfang TGA-Anlagen über das GA-System automatisiert gesteuert werden sollen.;Basis
INF.14.A1;Planung der Gebäudeautomation;Die GA SOLLTE so geplant werden, dass zur Kopplung und Integration der TGA-Anlagen möglichst wenig unterschiedliche GA-Systeme sowie Kommunikationsprotokolle und -schnittstellen genutzt werden.;Basis
INF.14.A1;Planung der Gebäudeautomation;Es SOLLTEN sichere und standardisierte Protokolle und Schnittstellen eingesetzt werden.;Basis
INF.14.A1;Planung der Gebäudeautomation;Für eine Entscheidung hinsichtlich der notwendigen Systeme, Protokolle und Schnittstellen SOLLTE die erwartete Funktionalität gegenüber einem gegebenenfalls erhöhten Aufwand für Betriebs- und Informationssicherheit abgewogen werden.;Basis
INF.14.A1;Planung der Gebäudeautomation;Die Planung SOLLTE dokumentiert, regelmäßig und zusätzlich bei Bedarf aktualisiert und dem Stand der Technik angepasst werden.;Basis
INF.14.A1;Planung der Gebäudeautomation;Darüber hinaus SOLLTE die Planung regelmäßig und zusätzlich bei Bedarf mit der aktuellen Konfiguration verglichen werden (Soll-Ist-Vergleich).;Basis
INF.14.A2;Festlegung eines Inbetriebnahme- und Schnittstellenmanagements für die GA;Aufgrund der Vielzahl von TGA-Anlagen und Komponenten in Gebäuden, die in GA-Systemen angebunden werden, MUSS der Ablauf zur Inbetriebnahme der involvierten TGA-Anlagen und GA-relevanten Komponenten aufeinander abgestimmt und übergreifend festgelegt werden.;Basis
INF.14.A2;Festlegung eines Inbetriebnahme- und Schnittstellenmanagements für die GA;Dieser Ablauf MUSS koordiniert umgesetzt werden, um ein voll funktionsfähiges Gebäude zu gewährleisten.;Basis
INF.14.A2;Festlegung eines Inbetriebnahme- und Schnittstellenmanagements für die GA;Ebenso MÜSSEN klare Schnittstellen zwischen den betreibenden Organisationen der GA und der GA-relevanten Komponenten sowie den betreibenden Organisationen der TGA-Anlagen definiert werden.;Basis
INF.14.A2;Festlegung eines Inbetriebnahme- und Schnittstellenmanagements für die GA;Inbetriebnahme- und Schnittstellenmanagement MÜSSEN dokumentiert werden.;Basis
INF.14.A2;Festlegung eines Inbetriebnahme- und Schnittstellenmanagements für die GA;Sowohl regelmäßig als auch zusätzlich bei Bedarf MÜSSEN die Festlegungen geprüft und gegebenenfalls nachjustiert werden.;Basis
INF.14.A2;Festlegung eines Inbetriebnahme- und Schnittstellenmanagements für die GA;Insbesondere bei Änderungen innerhalb der GA-Systeme MÜSSEN die Festlegungen angepasst werden.;Basis
