ID-Anforderung;Titel;Inhalt;Typ
NET.3.3.A1;Planung des VPN-Einsatzes;Die Einführung eines VPN MUSS sorgfältig geplant werden.;Basis
NET.3.3.A1;Planung des VPN-Einsatzes;Dabei MÜSSEN die Verantwortlichkeiten für den VPN-Betrieb festgelegt werden.;Basis
NET.3.3.A1;Planung des VPN-Einsatzes;Es MÜSSEN für das VPN zudem Benutzendengruppen und deren Berechtigungen geplant werden.;Basis
NET.3.3.A1;Planung des VPN-Einsatzes;Ebenso MUSS definiert werden, wie erteilte, geänderte oder entzogene Zugriffsberechtigungen zu dokumentieren sind.;Basis
NET.3.3.A2;Auswahl von VPN-Dienstleistenden;Falls VPN-Dienstleistende eingesetzt werden, MÜSSEN mit diesen Service Level Agreements (SLAs) ausgehandelt und schriftlich dokumentiert werden.;Basis
NET.3.3.A2;Auswahl von VPN-Dienstleistenden;Es MUSS regelmäßig kontrolliert werden, ob die VPN-Dienstleistenden die vereinbarten SLAs einhalten.;Basis
NET.3.3.A3;Sichere Installation von VPN-Endgeräten;Wird eine Appliance eingesetzt, die eine Wartung benötigt, MUSS es dafür einen gültigen Wartungsvertrag geben.;Basis
NET.3.3.A3;Sichere Installation von VPN-Endgeräten;Es MUSS sichergestellt werden, dass nur qualifiziertes Personal VPN-Komponenten installiert.;Basis
NET.3.3.A3;Sichere Installation von VPN-Endgeräten;Die Installation der VPN-Komponenten sowie eventuelle Abweichungen von den Planungsvorgaben SOLLTEN dokumentiert werden.;Basis
NET.3.3.A3;Sichere Installation von VPN-Endgeräten;Die Funktionalität und die gewählten Sicherheitsmechanismen des VPN MÜSSEN vor Inbetriebnahme geprüft werden.;Basis
NET.3.3.A4;Sichere Konfiguration eines VPN;Für alle VPN-Komponenten MUSS eine sichere Konfiguration festgelegt werden.;Basis
NET.3.3.A4;Sichere Konfiguration eines VPN;Diese SOLLTE geeignet dokumentiert werden.;Basis
NET.3.3.A4;Sichere Konfiguration eines VPN;Auch MUSS die für die Administration zuständige Person regelmäßig kontrollieren, ob die Konfiguration noch sicher ist und sie eventuell für alle IT-Systeme anpassen.;Basis
NET.3.3.A5;Sperrung nicht mehr benötigter VPN-Zugänge;Es MUSS regelmäßig geprüft werden, ob ausschließlich berechtigte IT-Systeme und Benutzende auf das VPN zugreifen können.;Basis
NET.3.3.A5;Sperrung nicht mehr benötigter VPN-Zugänge;Nicht mehr benötigte VPN-Zugänge MÜSSEN zeitnah deaktiviert werden.;Basis
NET.3.3.A5;Sperrung nicht mehr benötigter VPN-Zugänge;Der VPN-Zugriff MUSS auf die benötigten Benutzungszeiten beschränkt werden.;Basis
NET.3.3.A6;Durchführung einer VPN-Anforderungsanalyse;Eine Anforderungsanalyse SOLLTE durchgeführt werden, um für das jeweilige VPN die Einsatzszenarien zu bestimmen und daraus Anforderungen an die benötigten Hard- und Software-Komponenten ableiten zu können.;Standard
NET.3.3.A6;Durchführung einer VPN-Anforderungsanalyse;In der Anforderungsanalyse SOLLTEN folgende Punkte betrachtet werden:;Standard
NET.3.3.A6;Durchführung einer VPN-Anforderungsanalyse;Geschäftsprozesse beziehungsweise Fachaufgaben,;Standard
NET.3.3.A6;Durchführung einer VPN-Anforderungsanalyse;Zugriffswege,;Standard
NET.3.3.A6;Durchführung einer VPN-Anforderungsanalyse;Identifikations- und Authentisierungsverfahren,;Standard
NET.3.3.A6;Durchführung einer VPN-Anforderungsanalyse;Benutzende und ihre Berechtigungen,;Standard
NET.3.3.A6;Durchführung einer VPN-Anforderungsanalyse;Zuständigkeiten sowie;Standard
NET.3.3.A6;Durchführung einer VPN-Anforderungsanalyse;Meldewege.;Standard
NET.3.3.A7;Planung der technischen VPN-Realisierung;Neben der allgemeinen Planung (siehe NET.3.3.A1 Planung des VPN-Einsatzes) SOLLTEN die technischen Aspekte eines VPN sorgfältig geplant werden.;Standard
NET.3.3.A7;Planung der technischen VPN-Realisierung;So SOLLTEN für das VPN die Verschlüsselungsverfahren, VPN-Endpunkte, erlaubten Zugangsprotokolle, Dienste und Ressourcen festgelegt werden.;Standard
NET.3.3.A7;Planung der technischen VPN-Realisierung;Zudem SOLLTEN die Teilnetze definiert werden, die über das VPN erreichbar sind.;Standard
NET.3.3.A7;Planung der technischen VPN-Realisierung;(siehe NET.1.1 Netzarchitektur und -design).;Standard
NET.3.3.A8;Erstellung einer Sicherheitsrichtlinie zur VPN-Nutzung;Eine Sicherheitsrichtlinie zur VPN-Nutzung SOLLTE erstellt werden.;Standard
NET.3.3.A8;Erstellung einer Sicherheitsrichtlinie zur VPN-Nutzung;Diese SOLLTE allen Mitarbeitenden bekannt gegeben werden.;Standard
