ID-Anforderung;Titel;Inhalt;Typ
OPS.1.1.3.A1;Konzept für das Patch- und Änderungsmanagement;Wenn IT-Komponenten, Software oder Konfigurationsdaten geändert werden, MUSS es dafür Vorgaben geben, die auch Sicherheitsaspekte berücksichtigen.;Basis
OPS.1.1.3.A1;Konzept für das Patch- und Änderungsmanagement;Diese MÜSSEN in einem Konzept für das Patch- und Änderungsmanagement festgehalten und befolgt werden.;Basis
OPS.1.1.3.A1;Konzept für das Patch- und Änderungsmanagement;Alle Patches und Änderungen MÜSSEN geeignet geplant, genehmigt und dokumentiert werden.;Basis
OPS.1.1.3.A1;Konzept für das Patch- und Änderungsmanagement;Patches und Änderungen SOLLTEN vorab geeignet getestet werden (siehe hierzu auch OPS.1.1.6 Software-Tests und Freigaben).;Basis
OPS.1.1.3.A1;Konzept für das Patch- und Änderungsmanagement;Wenn Patches installiert und Änderungen durchgeführt werden, MÜSSEN Rückfall-Lösungen vorhanden sein.;Basis
OPS.1.1.3.A1;Konzept für das Patch- und Änderungsmanagement;Bei größeren Änderungen MUSS zudem der oder die ISB beteiligt sein.;Basis
OPS.1.1.3.A1;Konzept für das Patch- und Änderungsmanagement;Insgesamt MUSS sichergestellt werden, dass das angestrebte Sicherheitsniveau während und nach den Änderungen erhalten bleibt.;Basis
OPS.1.1.3.A1;Konzept für das Patch- und Änderungsmanagement;Insbesondere SOLLTEN auch die gewünschten Sicherheitseinstellungen erhalten bleiben.;Basis
OPS.1.1.3.A2;Festlegung der Zuständigkeiten;Für alle Organisationsbereiche MÜSSEN Zuständige für das Patch- und Änderungsmanagement festgelegt werden.;Basis
OPS.1.1.3.A2;Festlegung der Zuständigkeiten;Die definierten Zuständigkeiten MÜSSEN sich auch im Berechtigungskonzept widerspiegeln.;Basis
OPS.1.1.3.A3;Konfiguration von Autoupdate-Mechanismen;Innerhalb der Strategie zum Patch- und Änderungsmanagement MUSS definiert werden, wie mit integrierten Update-Mechanismen (Autoupdate) der eingesetzten Software umzugehen ist.;Basis
OPS.1.1.3.A3;Konfiguration von Autoupdate-Mechanismen;Insbesondere MUSS festgelegt werden, wie diese Mechanismen abgesichert und passend konfiguriert werden.;Basis
OPS.1.1.3.A3;Konfiguration von Autoupdate-Mechanismen;Außerdem SOLLTEN neue Komponenten daraufhin überprüft werden, welche Update-Mechanismen sie haben.;Basis
OPS.1.1.3.A15;Regelmäßige Aktualisierung von IT-Systemen und Software;IT-Systeme und Software SOLLTEN regelmäßig aktualisiert werden.;Basis
OPS.1.1.3.A15;Regelmäßige Aktualisierung von IT-Systemen und Software;Grundsätzlich SOLLTEN Patches zeitnah nach Veröffentlichung eingespielt werden.;Basis
OPS.1.1.3.A15;Regelmäßige Aktualisierung von IT-Systemen und Software;Basierend auf dem Konzept für das Patch- und Änderungsmanagement MÜSSEN Patches zeitnah nach Veröffentlichung bewertet und entsprechend priorisiert werden.;Basis
OPS.1.1.3.A15;Regelmäßige Aktualisierung von IT-Systemen und Software;Für die Bewertung SOLLTE geprüft werden, ob es zu diesem Patch bekannte Schwachstellen gibt.;Basis
OPS.1.1.3.A15;Regelmäßige Aktualisierung von IT-Systemen und Software;Es MUSS entschieden werden, ob der Patch eingespielt werden soll.;Basis
OPS.1.1.3.A15;Regelmäßige Aktualisierung von IT-Systemen und Software;Wenn ein Patch eingespielt wird, SOLLTE kontrolliert werden, ob dieser auf allen relevanten Systemen zeitnah erfolgreich eingespielt wurde.;Basis
OPS.1.1.3.A15;Regelmäßige Aktualisierung von IT-Systemen und Software;Wenn ein Patch nicht eingespielt wird, MÜSSEN die Entscheidung und die Gründe dafür dokumentiert werden.;Basis
OPS.1.1.3.A15;Regelmäßige Aktualisierung von IT-Systemen und Software;Falls Hardware- oder Software-Produkte eingesetzt werden sollen, die nicht mehr von den Herstellenden unterstützt werden oder für die kein Support mehr vorhanden ist, MUSS geprüft werden, ob diese dennoch sicher betrieben werden können.;Basis
OPS.1.1.3.A15;Regelmäßige Aktualisierung von IT-Systemen und Software;Ist dies nicht der Fall, DÜRFEN diese Hardware- oder Software-Produkte NICHT mehr verwendet werden.;Basis
OPS.1.1.3.A16;ENTFALLEN;Diese Anforderung ist entfallen.;Basis
OPS.1.1.3.A4;ENTFALLEN;Diese Anforderung ist entfallen.;Standard
OPS.1.1.3.A5;Umgang mit Änderungsanforderungen;Alle Änderungsanforderungen (Request for Changes, RfCs) SOLLTEN erfasst und dokumentiert werden.;Standard
OPS.1.1.3.A5;Umgang mit Änderungsanforderungen;Die Änderungsanforderungen SOLLTEN von den jeweiligen Fachverantwortlichen für das Patch- und Änderungsmanagement daraufhin kontrolliert werden, ob die Aspekte der Informationssicherheit ausreichend berücksichtigt wurden.;Standard
OPS.1.1.3.A6;Abstimmung von Änderungsanforderungen;Der zu einer Änderung zugehörige Abstimmungsprozess SOLLTE alle relevanten Zielgruppen und die Auswirkungen auf die Informationssicherheit berücksichtigen.;Standard
OPS.1.1.3.A6;Abstimmung von Änderungsanforderungen;Die von der Änderung betroffenen Zielgruppen SOLLTEN sich nachweisbar dazu äußern können.;Standard
OPS.1.1.3.A6;Abstimmung von Änderungsanforderungen;Auch SOLLTE es ein festgelegtes Verfahren geben, wodurch wichtige Änderungsanforderungen beschleunigt werden können.;Standard
OPS.1.1.3.A7;Integration des Änderungsmanagements in die Geschäftsprozesse;Der Änderungsmanagementprozess SOLLTE in die Geschäftsprozesse beziehungsweise Fachaufgaben integriert werden.;Standard
OPS.1.1.3.A7;Integration des Änderungsmanagements in die Geschäftsprozesse;Bei geplanten Änderungen SOLLTE die aktuelle Situation der davon betroffenen Geschäftsprozesse berücksichtigt werden.;Standard
OPS.1.1.3.A7;Integration des Änderungsmanagements in die Geschäftsprozesse;Alle relevanten Fachabteilungen SOLLTEN über anstehende Änderungen informiert werden.;Standard
OPS.1.1.3.A7;Integration des Änderungsmanagements in die Geschäftsprozesse;Auch SOLLTE es eine Eskalationsebene geben, deren Mitglieder der Leitungsebene der Institution angehören.;Standard
OPS.1.1.3.A7;Integration des Änderungsmanagements in die Geschäftsprozesse;Die Mitglieder dieser Eskalationsebene SOLLTEN in Zweifelsfällen über Priorität und Terminplanung einer Hard- oder Software-Änderung entscheiden.;Standard
OPS.1.1.3.A8;Sicherer Einsatz von Werkzeugen für das Patch- und Änderungsmanagement;Anforderungen und Rahmenbedingungen SOLLTEN definiert werden, nach denen Werkzeuge für das Patch- und Änderungsmanagement ausgewählt werden.;Standard
OPS.1.1.3.A8;Sicherer Einsatz von Werkzeugen für das Patch- und Änderungsmanagement;Außerdem SOLLTE eine spezifische Sicherheitsrichtlinie für die eingesetzten Werkzeuge erstellt werden.;Standard
OPS.1.1.3.A9;Test- und Abnahmeverfahren für neue Hardware;Wenn neue Hardware ausgewählt wird, SOLLTE geprüft werden, ob die eingesetzte Software und insbesondere die relevanten Betriebssysteme mit der Hardware und deren Treibersoftware kompatibel sind.;Standard
OPS.1.1.3.A9;Test- und Abnahmeverfahren für neue Hardware;Neue Hardware SOLLTE getestet werden, bevor sie eingesetzt wird.;Standard
OPS.1.1.3.A9;Test- und Abnahmeverfahren für neue Hardware;Diese SOLLTE ausschließlich in einer isolierten Umgebung getestet werden.;Standard
OPS.1.1.3.A9;Test- und Abnahmeverfahren für neue Hardware;Für IT-Systeme SOLLTE es ein Abnahmeverfahren und eine Freigabeerklärung geben.;Standard
OPS.1.1.3.A9;Test- und Abnahmeverfahren für neue Hardware;Die Zuständigen SOLLTEN die Freigabeerklärungen an geeigneter Stelle schriftlich hinterlegen.;Standard
OPS.1.1.3.A9;Test- und Abnahmeverfahren für neue Hardware;Für den Fall, dass trotz der Abnahme- und Freigabeverfahren im laufenden Betrieb Fehler festgestellt werden, SOLLTE es ein Verfahren zur Fehlerbehebung geben.;Standard
OPS.1.1.3.A10;Sicherstellung der Integrität und Authentizität von Softwarepaketen;Während des gesamten Patch- oder Änderungsprozesses SOLLTE die Authentizität und Integrität von Softwarepaketen sichergestellt werden.;Standard
OPS.1.1.3.A10;Sicherstellung der Integrität und Authentizität von Softwarepaketen;Dazu SOLLTE geprüft werden, ob für die eingesetzten Softwarepakete Prüfsummen oder digitale Signaturen verfügbar sind.;Standard
OPS.1.1.3.A10;Sicherstellung der Integrität und Authentizität von Softwarepaketen;Falls ja, SOLLTEN diese vor der Installation des Pakets überprüft werden.;Standard
OPS.1.1.3.A10;Sicherstellung der Integrität und Authentizität von Softwarepaketen;Ebenso SOLLTE darauf geachtet werden, dass die notwendigen Programme zur Überprüfung vorhanden sind.;Standard
OPS.1.1.3.A10;Sicherstellung der Integrität und Authentizität von Softwarepaketen;Software und Updates SOLLTEN grundsätzlich nur aus vertrauenswürdigen Quellen bezogen werden.;Standard
OPS.1.1.3.A11;Kontinuierliche Dokumentation der Informationsverarbeitung;Änderungen SOLLTEN in allen Phasen, allen Anwendungen und allen Systemen dokumentiert werden.;Standard
OPS.1.1.3.A11;Kontinuierliche Dokumentation der Informationsverarbeitung;Dazu SOLLTEN entsprechende Regelungen erarbeitet werden.;Standard
OPS.1.1.3.A12;Einsatz von Werkzeugen beim Änderungsmanagement;Bevor ein Werkzeug zum Änderungsmanagement benutzt wird, SOLLTE sorgfältig geprüft werden, ob damit die Änderungen angemessen im Informationsverbund verteilt werden können.;Hoch
OPS.1.1.3.A12;Einsatz von Werkzeugen beim Änderungsmanagement;Zusätzlich SOLLTEN Unterbrechungspunkte definiert werden können, an denen die Verteilung einer fehlerhaften Änderung gestoppt wird.;Hoch
