ID-Anforderung;Titel;Inhalt;Typ
ORP.3.A1;Sensibilisierung der Institutionsleitung für Informationssicherheit;Die Institutionsleitung MUSS ausreichend für Sicherheitsfragen sensibilisiert werden.;Basis
ORP.3.A1;Sensibilisierung der Institutionsleitung für Informationssicherheit;Die Sicherheitskampagnen und Schulungsmaßnahmen MÜSSEN von der Institutionsleitung unterstützt werden.;Basis
ORP.3.A1;Sensibilisierung der Institutionsleitung für Informationssicherheit;Vor dem Beginn eines Sensibilisierungs- und Schulungsprogramms zur Informationssicherheit MUSS die Unterstützung der Institutionsleitung eingeholt werden.;Basis
ORP.3.A1;Sensibilisierung der Institutionsleitung für Informationssicherheit;Alle Vorgesetzten MÜSSEN die Informationssicherheit unterstützen, indem sie mit gutem Beispiel vorangehen.;Basis
ORP.3.A1;Sensibilisierung der Institutionsleitung für Informationssicherheit;Führungskräfte MÜSSEN die Sicherheitsvorgaben umsetzen.;Basis
ORP.3.A1;Sensibilisierung der Institutionsleitung für Informationssicherheit;Hierüber hinaus MÜSSEN sie ihre Mitarbeitenden auf deren Einhaltung hinweisen.;Basis
ORP.3.A2;ENTFALLEN;Diese Anforderung ist entfallen.;Basis
ORP.3.A3;Einweisung des Personals in den sicheren Umgang mit IT;Alle Mitarbeitenden und externen Benutzenden MÜSSEN in den sicheren Umgang mit IT-, ICS- und IoT-Komponenten eingewiesen und sensibilisiert werden, soweit dies für ihre Arbeitszusammenhänge relevant ist.;Basis
ORP.3.A3;Einweisung des Personals in den sicheren Umgang mit IT;Dafür MÜSSEN verbindliche, verständliche und aktuelle Richtlinien zur Nutzung der jeweiligen Komponenten zur Verfügung stehen.;Basis
ORP.3.A3;Einweisung des Personals in den sicheren Umgang mit IT;Werden IT-, ICS- oder IoT-Systeme oder -Dienste in einer Weise benutzt, die den Interessen der Institution widersprechen, MUSS dies kommuniziert werden.;Basis
ORP.3.A4;Konzeption und Planung eines Sensibilisierungs- und Schulungsprogramms zur Informationssicherheit;Sensibilisierungs- und Schulungsprogramme zur Informationssicherheit SOLLTEN sich an den jeweiligen Zielgruppen orientieren.;Standard
ORP.3.A4;Konzeption und Planung eines Sensibilisierungs- und Schulungsprogramms zur Informationssicherheit;Dazu SOLLTE eine Zielgruppenanalyse durchgeführt werden.;Standard
ORP.3.A4;Konzeption und Planung eines Sensibilisierungs- und Schulungsprogramms zur Informationssicherheit;Hierbei SOLLTEN Schulungsmaßnahmen auf die speziellen Anforderungen und unterschiedlichen Hintergründe fokussiert werden können.;Standard
ORP.3.A4;Konzeption und Planung eines Sensibilisierungs- und Schulungsprogramms zur Informationssicherheit;Es SOLLTE ein zielgruppenorientiertes Sensibilisierungs- und Schulungsprogramm zur Informationssicherheit erstellt werden.;Standard
ORP.3.A4;Konzeption und Planung eines Sensibilisierungs- und Schulungsprogramms zur Informationssicherheit;Dieses Schulungsprogramm SOLLTE den Mitarbeitenden alle Informationen und Fähigkeiten vermitteln, die erforderlich sind, um in der Institution geltende Sicherheitsregelungen und -maßnahmen umsetzen zu können.;Standard
ORP.3.A4;Konzeption und Planung eines Sensibilisierungs- und Schulungsprogramms zur Informationssicherheit;Es SOLLTE regelmäßig überprüft und aktualisiert werden.;Standard
ORP.3.A5;ENTFALLEN;Diese Anforderung ist entfallen.;Standard
ORP.3.A6;Durchführung von Sensibilisierungen und Schulungen zur Informationssicherheit;Alle Mitarbeitenden SOLLTEN entsprechend ihren Aufgaben und Verantwortlichkeiten zu Informationssicherheitsthemen geschult werden.;Standard
ORP.3.A7;Schulung zur Vorgehensweise nach IT-Grundschutz;Informationssicherheitsbeauftragte SOLLTEN mit dem IT-Grundschutz vertraut sein.;Standard
ORP.3.A7;Schulung zur Vorgehensweise nach IT-Grundschutz;Wurde ein Schulungsbedarf identifiziert, SOLLTE eine geeignete IT-Grundschutz-Schulung geplant werden.;Standard
ORP.3.A7;Schulung zur Vorgehensweise nach IT-Grundschutz;Für die Planung einer Schulung SOLLTE der Online-Kurs des BSI zum IT-Grundschutz berücksichtigt werden.;Standard
ORP.3.A7;Schulung zur Vorgehensweise nach IT-Grundschutz;Innerhalb der Schulung SOLLTE die Vorgehensweise anhand praxisnaher Beispiele geübt werden.;Standard
ORP.3.A7;Schulung zur Vorgehensweise nach IT-Grundschutz;Es SOLLTE geprüft werden, ob der oder die Informationssicherheitsbeauftragte sich zu einem BSI IT-Grundschutz-Praktiker qualifizieren lassen sollten.;Standard
ORP.3.A8;Messung und Auswertung des Lernerfolgs;Die Lernerfolge im Bereich Informationssicherheit SOLLTEN zielgruppenbezogen gemessen und ausgewertet werden, um festzustellen, inwieweit die in den Sensibilisierungs- und Schulungsprogrammen zur Informationssicherheit beschriebenen Ziele erreicht sind.;Standard
ORP.3.A8;Messung und Auswertung des Lernerfolgs;Die Messungen SOLLTEN sowohl quantitative als auch qualitative Aspekte der Sensibilisierungs- und Schulungsprogramme zur Informationssicherheit berücksichtigen.;Standard
ORP.3.A8;Messung und Auswertung des Lernerfolgs;Die Ergebnisse SOLLTEN bei der Verbesserung des Sensibilisierungs- und Schulungsangebots zur Informationssicherheit in geeigneter Weise einfließen.;Standard
ORP.3.A8;Messung und Auswertung des Lernerfolgs;Der oder die Informationssicherheitsbeauftragte SOLLTE sich regelmäßig mit der Personalabteilung und den anderen für die Sicherheit relevanten Ansprechpartnern (Datenschutz, Gesundheits- und Arbeitsschutz, Brandschutz etc.) über die Effizienz der Aus- und Weiterbildung austauschen.;Standard
ORP.3.A9;Spezielle Schulung von exponierten Personen und Institutionen;Besonders exponierte Personen SOLLTEN vertiefende Schulungen in Hinblick auf mögliche Gefährdungen sowie geeignete Verhaltensweisen und Vorsichtsmaßnahmen erhalten.;Hoch
