ID-Anforderung;Titel;Inhalt;Typ
SYS.2.6.A1;Planung des Einsatzes einer VDI;Die Leistungsanforderungen und Anzahl der benötigten virtuellen Clients sowie die daraus resultierenden Anforderungen an die Dimensionierung der VDI MÜSSEN identifiziert werden.;Basis
SYS.2.6.A1;Planung des Einsatzes einer VDI;Die VDI-Komponenten MÜSSEN anhand dieser Dimensionierungsanforderungen bedarfsgerecht geplant werden.;Basis
SYS.2.6.A1;Planung des Einsatzes einer VDI;Die VDI-Komponenten und die genutzte Virtualisierungsinfrastruktur MÜSSEN aufeinander abgestimmt geplant werden.;Basis
SYS.2.6.A1;Planung des Einsatzes einer VDI;Bei der Dimensionierung der VDI MUSS berücksichtigt werden, ob und wie sich die Anforderungen hieran über den geplanten Einsatzzeitraum der VDI-Lösung ändern.;Basis
SYS.2.6.A1;Planung des Einsatzes einer VDI;Der Support MUSS für den gesamten geplanten Einsatzzeitraum der VDI-Lösung bei der Planung mitberücksichtig werden.;Basis
SYS.2.6.A1;Planung des Einsatzes einer VDI;Die Anzahl virtueller Clients und deren benötigte Leistung pro Virtualisierungsserver MUSS festgelegt werden.;Basis
SYS.2.6.A2;Sichere Installation und Konfiguration der VDI-Komponenten;Wenn die VDI-Komponenten installiert und konfiguriert werden, MUSS mindestens berücksichtigt werden, wie:;Basis
SYS.2.6.A2;Sichere Installation und Konfiguration der VDI-Komponenten;auf betrieblich und technisch notwendige Funktionen beschränkt wird,;Basis
SYS.2.6.A2;Sichere Installation und Konfiguration der VDI-Komponenten;die Kommunikation zwischen VDI-Komponenten abgesichert wird sowie;Basis
SYS.2.6.A2;Sichere Installation und Konfiguration der VDI-Komponenten;virtuelle Clients sicher den Benutzenden oder Gruppen hiervon zugewiesen werden.;Basis
SYS.2.6.A2;Sichere Installation und Konfiguration der VDI-Komponenten;Empfehlungen von dem herstellenden Unternehmen der VDI-Lösung für die sichere Konfiguration MÜSSEN berücksichtigt werden.;Basis
SYS.2.6.A2;Sichere Installation und Konfiguration der VDI-Komponenten;Die Konfigurationen der VDI-Komponenten MÜSSEN geeignet dokumentiert werden.;Basis
SYS.2.6.A3;Sichere Installation und Konfiguration der virtuellen Clients mithilfe der VDI;Die VDI-Lösung SOLLTE genutzt werden, um die virtuellen Clients zu installieren und zu konfigurieren.;Standard
SYS.2.6.A3;Sichere Installation und Konfiguration der virtuellen Clients mithilfe der VDI;Virtuelle Clients SOLLTEN NICHT manuell in die VDI-Lösung integriert werden.;Standard
SYS.2.6.A3;Sichere Installation und Konfiguration der virtuellen Clients mithilfe der VDI;In der für die VDI verwendeten Virtualisierungsinfrastruktur SOLLTEN virtuelle Clients NICHT unabhängig von der VDI erzeugt werden.;Standard
SYS.2.6.A4;Netzsegmentierung der VDI-Komponenten;Die VDI-Komponenten inklusive der virtuellen Clients SOLLTEN bei der Netzsegmentierung gesondert berücksichtigt werden.;Standard
SYS.2.6.A4;Netzsegmentierung der VDI-Komponenten;Netze SOLLTEN dabei mindestens mit Hilfe der Virtualisierungsinfrastruktur getrennt werden.;Standard
SYS.2.6.A4;Netzsegmentierung der VDI-Komponenten;Dedizierte Netzsegmente SOLLTEN mindestens für das Administrationsnetz der VDI-Komponenten und für die Netze der internen Kommunikation zwischen VDI-Komponenten eingerichtet werden.;Standard
SYS.2.6.A5;Standardisierter Zugriff auf virtuelle Clients;Die Mechanismen und Dienste der VDI-Lösung SOLLTEN genutzt werden, um die Zugriffe auf die virtuellen Clients zu steuern und abzusichern.;Standard
SYS.2.6.A5;Standardisierter Zugriff auf virtuelle Clients;Falls eine zusätzliche Software für diese Zugriffe auf den zugreifenden Clients eingesetzt wird, SOLLTE diese Software standardisiert und zentralisiert bereitgestellt werden.;Standard
SYS.2.6.A6;Verwendung einer dedizierten Infrastruktur für virtuelle VDI-Komponenten;Falls die VDI-Komponenten virtualisiert betrieben werden, SOLLTEN sie auf einer dedizierten Virtualisierungsinfrastruktur betrieben werden.;Standard
SYS.2.6.A7;Härtung der virtualisierten Clients durch die VDI-Lösung;Die Möglichkeiten der VDI-Lösung SOLLTEN für die Härtung der virtuellen Clients entsprechend den Anforderungen des Bausteins SYS.2.5 Client-Virtualisierung genutzt werden.;Standard
SYS.2.6.A7;Härtung der virtualisierten Clients durch die VDI-Lösung;Die Betriebssysteme der Clients SOLLTEN ausschließlich über die Managementkomponente der VDI-Lösung konfiguriert werden.;Standard
SYS.2.6.A7;Härtung der virtualisierten Clients durch die VDI-Lösung;Eine individuelle Konfiguration bestehender virtueller Clients über die Virtualisierungsinfrastruktur SOLLTE mit technischen Mitteln unterbunden werden.;Standard
SYS.2.6.A8;Härtung der VDI-Lösung;Eine automatische Anmeldung an der VDI SOLLTE nicht möglich sein.;Standard
