APP.3.6.A1;G 0.18
APP.3.6.A2;G 0.25
APP.3.6.A2;G 0.40
APP.3.6.A3;G 0.22
APP.3.6.A4;G 0.19
APP.3.6.A4;G 0.22
APP.3.6.A4;G 0.30
APP.3.6.A4;G 0.31
APP.3.6.A4;G 0.43
APP.3.6.A4;G 0.46
APP.3.6.A6;G 0.22
APP.3.6.A6;G 0.30
APP.3.6.A7;G 0.25
APP.3.6.A7;G 0.26
APP.3.6.A7;G 0.27
APP.3.6.A8;G 0.29
APP.3.6.A9;G 0.25
APP.3.6.A9;G 0.40
APP.3.6.A9;G 0.45
APP.3.6.A10;G 0.20
APP.3.6.A10;G 0.29
APP.3.6.A11;G 0.25
APP.3.6.A11;G 0.27
APP.3.6.A11;G 0.40
APP.3.6.A13;G 0.19
APP.3.6.A14;G 0.19
APP.3.6.A14;G 0.22
APP.3.6.A14;G 0.30
APP.3.6.A15;G 0.22
APP.3.6.A15;G 0.25
APP.3.6.A15;G 0.27
APP.3.6.A15;G 0.30
APP.3.6.A16;G 0.19
APP.3.6.A16;G 0.22
APP.3.6.A16;G 0.30
APP.3.6.A16;G 0.43
APP.3.6.A17;G 0.22
APP.3.6.A17;G 0.30
APP.3.6.A17;G 0.43
APP.3.6.A17;G 0.46
APP.3.6.A18;G 0.22
APP.3.6.A18;G 0.30
APP.3.6.A18;G 0.46
APP.3.6.A19;G 0.19
APP.3.6.A20;G 0.25
APP.3.6.A20;G 0.26
APP.3.6.A20;G 0.27
APP.3.6.A20;G 0.40
APP.3.6.A20;G 0.45
APP.3.6.A21;G 0.19
APP.3.6.A21;G 0.22
APP.3.6.A21;G 0.30
APP.3.6.A22;G 0.9
