ID-Anforderung;Titel;Inhalt;Typ
APP.3.4.A1;Planung des Einsatzes eines Samba-Servers;Der IT-Betrieb MUSS die Einführung eines Samba-Servers sorgfältig planen und regeln.;Basis
APP.3.4.A1;Planung des Einsatzes eines Samba-Servers;Der IT-Betrieb MUSS abhängig vom Einsatzszenario definieren, welche Aufgaben der Samba-Server zukünftig erfüllen soll und in welcher Betriebsart er betrieben wird.;Basis
APP.3.4.A1;Planung des Einsatzes eines Samba-Servers;Außerdem MUSS festgelegt werden, welche Komponenten von Samba und welche weiteren Komponenten dafür erforderlich sind.;Basis
APP.3.4.A1;Planung des Einsatzes eines Samba-Servers;Soll die Cluster-Lösung CTDB (Cluster Trivia Data Base) eingesetzt werden, MUSS der IT-Betrieb diese Lösung sorgfältig konzeptionieren.;Basis
APP.3.4.A1;Planung des Einsatzes eines Samba-Servers;Falls Samba die Active-Directory-(AD)-Dienste auch für Linux- und Unix-Systeme bereitstellen soll, MÜSSEN diese Dienste ebenfalls sorgfältig geplant und getestet werden.;Basis
APP.3.4.A1;Planung des Einsatzes eines Samba-Servers;Des Weiteren MUSS das Authentisierungsverfahren für das AD sorgfältig konzipiert und implementiert werden.;Basis
APP.3.4.A1;Planung des Einsatzes eines Samba-Servers;Die Einführung und die Reihenfolge, in der die Stackable-Virtual-File-System-(VFS)-Module ausgeführt werden, MUSS sorgfältig konzipiert werden.;Basis
APP.3.4.A1;Planung des Einsatzes eines Samba-Servers;Die Umsetzung SOLLTE dokumentiert werden.;Basis
APP.3.4.A1;Planung des Einsatzes eines Samba-Servers;Soll IPv6 unter Samba eingesetzt werden, MUSS auch dies sorgfältig geplant werden.;Basis
APP.3.4.A1;Planung des Einsatzes eines Samba-Servers;Zudem MUSS in einer betriebsnahen Testumgebung überprüft werden, ob die Integration fehlerfrei funktioniert.;Basis
APP.3.4.A2;Sichere Grundkonfiguration eines Samba-Servers;Der IT-Betrieb MUSS den Samba-Server sicher konfigurieren.;Basis
APP.3.4.A2;Sichere Grundkonfiguration eines Samba-Servers;Hierfür MÜSSEN unter anderem die Einstellungen für die Zugriffskontrollen angepasst werden.;Basis
APP.3.4.A2;Sichere Grundkonfiguration eines Samba-Servers;Das gleiche SOLLTE auch für Einstellungen gelten, welche die Leistungsfähigkeit des Servers beeinflussen.;Basis
APP.3.4.A2;Sichere Grundkonfiguration eines Samba-Servers;Samba MUSS vom IT-Betrieb so konfiguriert werden, dass Verbindungen nur von sicheren Hosts und Netzen entgegengenommen werden.;Basis
APP.3.4.A2;Sichere Grundkonfiguration eines Samba-Servers;Änderungen an der Konfiguration SOLLTEN sorgfältig dokumentiert werden, sodass zu jeder Zeit nachvollzogen werden kann, wer aus welchem Grund was geändert hat.;Basis
APP.3.4.A2;Sichere Grundkonfiguration eines Samba-Servers;Dabei MUSS nach jeder Änderung überprüft werden, ob die Syntax der Konfigurationsdatei noch korrekt ist.;Basis
APP.3.4.A2;Sichere Grundkonfiguration eines Samba-Servers;Zusätzliche Softwaremodule wie SWAT DÜRFEN NICHT installiert werden.;Basis
APP.3.4.A3;Sichere Konfiguration eines Samba-Servers;Datenbanken im Trivial-Database-(TDB)-Format SOLLTEN NICHT auf einer Partition gespeichert werden, die ReiserFS als Dateisystem benutzt.;Standard
APP.3.4.A3;Sichere Konfiguration eines Samba-Servers;Wird eine netlogon-Freigabe konfiguriert, SOLLTEN unberechtigte Benutzende KEINE Dateien in dieser Freigabe modifizieren können.;Standard
