ID-Anforderung;Titel;Inhalt;Typ
APP.6.A1;Planung des Software-Einsatzes;Bevor eine Institution eine (neue) Software einführt, MUSS sie entscheiden,;Basis
APP.6.A1;Planung des Software-Einsatzes;wofür die Software genutzt und welche Informationen damit verarbeitet werden sollen,;Basis
APP.6.A1;Planung des Software-Einsatzes;wie die Benutzenden bei der Anforderungserhebung beteiligt und bei der Einführung unterstützt werden sollen,;Basis
APP.6.A1;Planung des Software-Einsatzes;wie die Software an weitere Anwendungen und IT-Systeme über welche Schnittstellen angebunden wird,;Basis
APP.6.A1;Planung des Software-Einsatzes;auf welchen IT-Systemen die Software ausgeführt werden soll und welche Ressourcen zur Ausführung der Software erforderlich sind, sowie;Basis
APP.6.A1;Planung des Software-Einsatzes;ob sich die Institution in Abhängigkeit zu einem Hersteller oder einer Herstellerin begibt, wenn sie diese Software einsetzt.;Basis
APP.6.A1;Planung des Software-Einsatzes;Hierbei MÜSSEN bereits Sicherheitsaspekte berücksichtigt werden.;Basis
APP.6.A1;Planung des Software-Einsatzes;Zusätzlich MUSS die Institution die Zuständigkeiten für fachliche Betreuung, Freigabe und betriebliche Administration schon im Vorfeld klären und festlegen.;Basis
APP.6.A1;Planung des Software-Einsatzes;Die Zuständigkeiten MÜSSEN dokumentiert und bei Bedarf aktualisiert werden.;Basis
APP.6.A2;Erstellung eines Anforderungskatalogs für Software;Auf Basis der Ergebnisse der Planung MÜSSEN die Anforderungen an die Software in einem Anforderungskatalog erhoben werden.;Basis
APP.6.A2;Erstellung eines Anforderungskatalogs für Software;Der Anforderungskatalog MUSS dabei die grundlegenden funktionalen Anforderungen umfassen.;Basis
APP.6.A2;Erstellung eines Anforderungskatalogs für Software;Darüber hinaus MÜSSEN die nichtfunktionalen Anforderungen und hier insbesondere die Sicherheitsanforderungen in den Anforderungskatalog integriert werden.;Basis
APP.6.A2;Erstellung eines Anforderungskatalogs für Software;Hierbei MÜSSEN sowohl die Anforderungen von den Fachverantwortlichen als auch vom IT-Betrieb berücksichtigt werden.;Basis
APP.6.A2;Erstellung eines Anforderungskatalogs für Software;Insbesondere MÜSSEN auch die rechtlichen Anforderungen, die sich aus dem Kontext der zu verarbeitenden Daten ergeben, berücksichtigt werden.;Basis
APP.6.A2;Erstellung eines Anforderungskatalogs für Software;Der fertige Anforderungskatalog SOLLTE mit allen betroffenen Fachabteilungen abgestimmt werden.;Basis
APP.6.A3;Sichere Beschaffung von Software;Wenn Software beschafft wird, MUSS auf Basis des Anforderungskatalogs eine geeignete Software ausgewählt werden.;Basis
APP.6.A3;Sichere Beschaffung von Software;Die ausgewählte Software MUSS aus vertrauenswürdigen Quellen beschafft werden.;Basis
APP.6.A3;Sichere Beschaffung von Software;Die vertrauenswürdige Quelle SOLLTE eine Möglichkeit bereitstellen, die Software auf Integrität zu überprüfen.;Basis
APP.6.A3;Sichere Beschaffung von Software;Darüber hinaus SOLLTE die Software mit einem geeigneten Wartungsvertrag oder einer vergleichbaren Zusage des herstellenden oder anbietenden Unternehmens beschafft werden.;Basis
APP.6.A3;Sichere Beschaffung von Software;Diese Verträge oder Zusagen SOLLTEN insbesondere garantieren, dass auftretende Sicherheitslücken und Schwachstellen der Software während des gesamten Nutzungszeitraums zeitnah behoben werden.;Basis
APP.6.A4;Regelung für die Installation und Konfiguration von Software;Die Installation und Konfiguration der Software MUSS durch den IT-Betrieb so geregelt werden, dass;Basis
APP.6.A4;Regelung für die Installation und Konfiguration von Software;die Software nur mit dem geringsten notwendigen Funktionsumfang installiert und ausgeführt wird,;Basis
APP.6.A4;Regelung für die Installation und Konfiguration von Software;die Software mit den geringsten möglichen Berechtigungen ausgeführt wird,;Basis
APP.6.A4;Regelung für die Installation und Konfiguration von Software;die datensparsamsten Einstellungen (in Bezug auf die Verarbeitung von personenbezogenen Daten) konfiguriert werden sowie;Basis
APP.6.A4;Regelung für die Installation und Konfiguration von Software;alle relevanten Sicherheitsupdates und -patches installiert sind, bevor die Software produktiv eingesetzt wird.;Basis
APP.6.A4;Regelung für die Installation und Konfiguration von Software;Hierbei MÜSSEN auch abhängige Komponenten (unter anderem Laufzeitumgebungen, Bibliotheken, Schnittstellen sowie weitere Programme) mitbetrachtet werden.;Basis
APP.6.A4;Regelung für die Installation und Konfiguration von Software;Der IT-Betrieb MUSS in Abstimmung mit den Fachverantwortlichen festlegen, wer die Software wie installieren darf.;Basis
APP.6.A4;Regelung für die Installation und Konfiguration von Software;Idealerweise SOLLTE Software immer zentral durch den IT-Betrieb installiert werden.;Basis
APP.6.A4;Regelung für die Installation und Konfiguration von Software;Ist es erforderlich, dass die Software (teilweise) manuell installiert wird, dann MUSS der IT-Betrieb eine Installationsanweisung erstellen, in der klar geregelt wird, welche Zwischenschritte zur Installation durchzuführen und welche Konfigurationen vorzunehmen sind.;Basis
APP.6.A4;Regelung für die Installation und Konfiguration von Software;Darüber hinaus MUSS der IT-Betrieb regeln, wie die Integrität der Installationsdateien überprüft wird.;Basis
