ID-Anforderung;Titel;Inhalt;Typ
CON.8.A2;Auswahl eines Vorgehensmodells;Ein geeignetes Vorgehensmodell zur Software-Entwicklung MUSS festgelegt werden.;Basis
CON.8.A2;Auswahl eines Vorgehensmodells;Anhand des gewählten Vorgehensmodells MUSS ein Ablaufplan für die Software-Entwicklung erstellt werden.;Basis
CON.8.A2;Auswahl eines Vorgehensmodells;Die Sicherheitsanforderungen der Auftraggebenden an die Vorgehensweise MÜSSEN im Vorgehensmodell integriert werden.;Basis
CON.8.A2;Auswahl eines Vorgehensmodells;Das ausgewählte Vorgehensmodell, einschließlich der festgelegten Sicherheitsanforderungen, MUSS eingehalten werden.;Basis
CON.8.A2;Auswahl eines Vorgehensmodells;Das Personal SOLLTE in der Methodik des gewählten Vorgehensmodells geschult sein.;Basis
CON.8.A3;Auswahl einer Entwicklungsumgebung;Eine Liste der erforderlichen und optionalen Auswahlkriterien für eine Entwicklungsumgebung MUSS von Fachverantwortlichen für die Software-Entwicklung erstellt werden.;Basis
CON.8.A3;Auswahl einer Entwicklungsumgebung;Die Entwicklungsumgebung MUSS anhand der vorgegebenen Kriterien ausgewählt werden.;Basis
CON.8.A4;ENTFALLEN;Diese Anforderung ist entfallen.;Basis
CON.8.A5;Sicheres Systemdesign;Folgende Grundregeln des sicheren Systemdesigns MÜSSEN in der zu entwickelnden Software berücksichtigt werden:;Basis
CON.8.A5;Sicheres Systemdesign;Grundsätzlich MÜSSEN alle Eingabedaten vor der Weiterverarbeitung geprüft und validiert werden.;Basis
CON.8.A5;Sicheres Systemdesign;Bei Client-Server-Anwendungen MÜSSEN die Daten grundsätzlich auf dem Server validiert werden.;Basis
CON.8.A5;Sicheres Systemdesign;Die Standardeinstellungen der Software MÜSSEN derart voreingestellt sein, dass ein sicherer Betrieb der Software ermöglicht wird.;Basis
CON.8.A5;Sicheres Systemdesign;Bei Fehlern oder Ausfällen von Komponenten des Systems DÜRFEN NICHT schützenswerte Informationen preisgegeben werden.;Basis
CON.8.A5;Sicheres Systemdesign;Die Software MUSS mit möglichst geringen Privilegien ausgeführt werden können.;Basis
CON.8.A5;Sicheres Systemdesign;Schützenswerte Daten MÜSSEN entsprechend der Vorgaben des Kryptokonzepts verschlüsselt übertragen und gespeichert werden.;Basis
CON.8.A5;Sicheres Systemdesign;Zur Benutzenden-Authentisierung und Authentifizierung MÜSSEN vertrauenswürdige Mechanismen verwendet werden, die den Sicherheitsanforderungen an die Anwendung entsprechen.;Basis
CON.8.A5;Sicheres Systemdesign;Falls zur Authentifizierung Passwörter gespeichert werden, MÜSSEN diese mit einem sicheren Hashverfahren gespeichert werden.;Basis
CON.8.A5;Sicheres Systemdesign;Sicherheitsrelevante Ereignisse MÜSSEN in der Art protokolliert werden, dass sie im Nachgang ausgewertet werden können.;Basis
