ID-Anforderung;Titel;Inhalt;Typ
DER.3.1.A1;Definition von Verantwortlichkeiten;Die Institutionsleitung MUSS eine Person benennen, die dafür zuständig ist, Audits bzw. Revisionen zu planen und zu initiieren.;Basis
DER.3.1.A1;Definition von Verantwortlichkeiten;Dabei MUSS die Institutionsleitung darauf achten, dass keine Interessenkonflikte entstehen.;Basis
DER.3.1.A1;Definition von Verantwortlichkeiten;Die Institution MUSS die Ergebnisse der Audits und Revisionen dazu verwenden, um die Sicherheitsmaßnahmen zu verbessern.;Basis
DER.3.1.A2;Vorbereitung eines Audits oder einer Revision;Vor einem Audit oder einer Revision MUSS die Institution den Prüfgegenstand und die Prüfungsziele festlegen.;Basis
DER.3.1.A2;Vorbereitung eines Audits oder einer Revision;Das betroffene Personal MUSS unterrichtet werden.;Basis
DER.3.1.A2;Vorbereitung eines Audits oder einer Revision;Abhängig vom Untersuchungsgegenstand MUSS die Personalvertretung über das geplante Audit oder die geplante Revision informiert werden.;Basis
DER.3.1.A3;Durchführung eines Audits;Bei einem Audit MUSS das Auditteam prüfen, ob die Anforderungen aus Richtlinien, Normen, Standards und anderen relevanten Vorgaben erfüllt sind.;Basis
DER.3.1.A3;Durchführung eines Audits;Die geprüfte Institution MUSS die Anforderungen kennen.;Basis
DER.3.1.A3;Durchführung eines Audits;Das Auditteam MUSS bei jedem Audit eine Dokumentenprüfung sowie eine Vor-Ort-Prüfung durchführen.;Basis
DER.3.1.A3;Durchführung eines Audits;Beim Vor-Ort-Audit MUSS das Auditteam sicherstellen, dass es niemals selbst aktiv in Systeme eingreift und keine Handlungsanweisungen zu Änderungen am Prüfgegenstand erteilt.;Basis
DER.3.1.A3;Durchführung eines Audits;Das Auditteam MUSS sämtliche Ergebnisse eines Audits schriftlich dokumentieren und in einem Auditbericht zusammenfassen.;Basis
DER.3.1.A3;Durchführung eines Audits;Der Auditbericht MUSS der zuständigen Stelle in der Institution zeitnah übermittelt werden.;Basis
DER.3.1.A4;Durchführung einer Revision;Bei einer Revision MUSS das Revisionsteam prüfen, ob die Anforderungen vollständig, korrekt, angemessen und aktuell umgesetzt sind.;Basis
DER.3.1.A4;Durchführung einer Revision;Die Institution MUSS festgestellte Abweichungen so schnell wie möglich korrigieren.;Basis
DER.3.1.A4;Durchführung einer Revision;Die jeweiligen Revisionen MÜSSEN mit einer Änderungsverfolgung dokumentiert werden.;Basis
DER.3.1.A5;Integration in den Informationssicherheitsprozess;Die Institution SOLLTE eine Richtlinie zur internen ISMS-Auditierung vorgeben.;Standard
DER.3.1.A5;Integration in den Informationssicherheitsprozess;Außerdem sollte sie eine Richtlinie zur Lenkung von Korrekturmaßnahmen erstellen.;Standard
DER.3.1.A5;Integration in den Informationssicherheitsprozess;Die Richtlinien SOLLTEN vorgeben, dass regelmäßige Audits und Revisionen ein Teil des Sicherheitsprozesses sind und durch diesen initiiert werden.;Standard
DER.3.1.A5;Integration in den Informationssicherheitsprozess;Der oder die ISB SOLLTE sicherstellen, dass die Ergebnisse der Audits und Revisionen in das ISMS zurückfließen und dieses verbessern.;Standard
DER.3.1.A5;Integration in den Informationssicherheitsprozess;Der oder die ISB SOLLTE die durchgeführten Audits und Revisionen und deren Ergebnisse in den regelmäßigen Bericht an die Institutionsleitung aufnehmen.;Standard
DER.3.1.A5;Integration in den Informationssicherheitsprozess;Auch SOLLTE dort festgehalten werden, welche Mängel beseitigt wurden und wie die Qualität verbessert wurde.;Standard
