ID-Anforderung;Titel;Inhalt;Typ
DER.4.A1;Erstellung eines Notfallhandbuchs;Es SOLLTE ein Notfallhandbuch erstellt werden, in dem die wichtigsten Informationen zu;Standard
DER.4.A1;Erstellung eines Notfallhandbuchs;Rollen,;Standard
DER.4.A1;Erstellung eines Notfallhandbuchs;Sofortmaßnahmen,;Standard
DER.4.A1;Erstellung eines Notfallhandbuchs;Alarmierung und Eskalation sowie;Standard
DER.4.A1;Erstellung eines Notfallhandbuchs;Kommunikations-, grundsätzlichen Geschäftsfortführungs-, Wiederanlauf- und Wiederherstellungsplänen;Standard
DER.4.A1;Erstellung eines Notfallhandbuchs;enthalten sind.;Standard
DER.4.A1;Erstellung eines Notfallhandbuchs;Zuständigkeiten und Befugnisse SOLLTEN zugewiesen, kommuniziert und im Notfallhandbuch festgehalten werden.;Standard
DER.4.A1;Erstellung eines Notfallhandbuchs;Es SOLLTE sichergestellt sein, dass im Notfall entsprechend geschultes Personal zur Verfügung steht.;Standard
DER.4.A1;Erstellung eines Notfallhandbuchs;Es SOLLTE regelmäßig durch Tests und Übungen überprüft werden, ob die im Notfallhandbuch beschriebenen Maßnahmen auch wie vorgesehen funktionieren.;Standard
DER.4.A1;Erstellung eines Notfallhandbuchs;Es SOLLTE regelmäßig geprüft werden, ob das Notfallhandbuch noch aktuell ist.;Standard
DER.4.A1;Erstellung eines Notfallhandbuchs;Gegebenenfalls SOLLTE es aktualisiert werden.;Standard
DER.4.A1;Erstellung eines Notfallhandbuchs;Es SOLLTE auch im Notfall zugänglich sein.;Standard
DER.4.A1;Erstellung eines Notfallhandbuchs;Das Notfallhandbuch SOLLTE um Verhaltensregeln für spezielle Fälle ergänzt werden, z. B. Brand.;Standard
DER.4.A1;Erstellung eines Notfallhandbuchs;Die Regeln SOLLTEN allen Mitarbeitenden bekanntgegeben werden.;Standard
DER.4.A2;Integration von Notfallmanagement und Informationssicherheitsmanagement;Die Prozesse im Sicherheitsmanagement SOLLTEN mit dem Notfallmanagement abgestimmt werden (siehe DER.2.1 Behandlung von Sicherheitsvorfällen).;Standard
DER.4.A3;Festlegung des Geltungsbereichs und der Notfallmanagementstrategie;Der Geltungsbereich für das Notfallmanagementsystem SOLLTE eindeutig festgelegt werden.;Hoch
DER.4.A3;Festlegung des Geltungsbereichs und der Notfallmanagementstrategie;Die Institutionsleitung SOLLTE eine Notfallmanagementstrategie festlegen, welche die angestrebten Ziele und das Risikoakzeptanzniveau darlegen.;Hoch
DER.4.A4;Leitlinie zum Notfallmanagement und Übernahme der Gesamtverantwortung durch die Institutionsleitung;Die Institutionsleitung SOLLTE eine Leitlinie zum Notfallmanagement verabschieden.;Hoch
DER.4.A4;Leitlinie zum Notfallmanagement und Übernahme der Gesamtverantwortung durch die Institutionsleitung;Diese SOLLTE die wesentlichen Eckpunkte des Notfallmanagements enthalten.;Hoch
DER.4.A4;Leitlinie zum Notfallmanagement und Übernahme der Gesamtverantwortung durch die Institutionsleitung;Die Leitlinie zum Notfallmanagement SOLLTE regelmäßig überprüft und gegebenenfalls überarbeitet werden.;Hoch
DER.4.A4;Leitlinie zum Notfallmanagement und Übernahme der Gesamtverantwortung durch die Institutionsleitung;Sie SOLLTE allen Mitarbeitenden bekanntgegeben werden.;Hoch
DER.4.A5;Aufbau einer geeigneten Organisationsstruktur für das Notfallmanagement;Die Rollen für das Notfallmanagement SOLLTEN für die Gegebenheiten der Institution angemessen festgelegt werden.;Hoch
DER.4.A5;Aufbau einer geeigneten Organisationsstruktur für das Notfallmanagement;Dies SOLLTE mit den Aufgaben, Pflichten und Kompetenzen der Rollen schriftlich dokumentiert werden.;Hoch
DER.4.A5;Aufbau einer geeigneten Organisationsstruktur für das Notfallmanagement;Es SOLLTEN für alle Rollen im Notfallmanagement qualifizierte Mitarbeitende benannt werden.;Hoch
DER.4.A5;Aufbau einer geeigneten Organisationsstruktur für das Notfallmanagement;Die Organisationsstruktur im Notfallmanagement SOLLTE regelmäßig darauf überprüft werden, ob sie praxistauglich, effektiv und effizient ist.;Hoch
DER.4.A6;Bereitstellung angemessener Ressourcen für das Notfallmanagement;Die finanziellen, technischen und personellen Ressourcen für die angestrebten Ziele des Notfallmanagements SOLLTEN angemessen sein.;Hoch
DER.4.A6;Bereitstellung angemessener Ressourcen für das Notfallmanagement;Der oder die Notfallbeauftragte bzw. das Notfallmanagement-Team SOLLTE über genügend Zeit für die Aufgaben im Notfallmanagement verfügen.;Hoch
DER.4.A7;Erstellung eines Notfallkonzepts;Alle kritischen Geschäftsprozesse und Ressourcen SOLLTEN identifiziert werden, beispielsweise mit einer Business-Impact-Analyse (BIA).;Hoch
DER.4.A7;Erstellung eines Notfallkonzepts;Es SOLLTEN die wichtigsten relevanten Risiken für die kritischen Geschäftsprozesse und Fachaufgaben sowie deren Ressourcen identifiziert werden.;Hoch
DER.4.A7;Erstellung eines Notfallkonzepts;Für jedes identifizierte Risiko SOLLTE entschieden werden, welche Risikostrategien zur Risikobehandlung eingesetzt werden sollen.;Hoch
DER.4.A7;Erstellung eines Notfallkonzepts;Es SOLLTEN Kontinuitätsstrategien entwickelt werden, die einen Wiederanlauf und eine Wiederherstellung der kritischen Geschäftsprozesse in der geforderten Zeit ermöglichen.;Hoch
DER.4.A7;Erstellung eines Notfallkonzepts;Es SOLLTE ein Notfallkonzept erstellt werden.;Hoch
DER.4.A7;Erstellung eines Notfallkonzepts;Es SOLLTEN solche Notfallpläne und Maßnahmen entwickelt und implementiert werden, die eine effektive Notfallbewältigung und eine schnelle Wiederaufnahme der kritischen Geschäftsprozesse ermöglichen.;Hoch
DER.4.A7;Erstellung eines Notfallkonzepts;Im Notfallkonzept SOLLTE die Informationssicherheit berücksichtigt und entsprechende Sicherheitskonzepte für die Notfalllösungen entwickelt werden.;Hoch
DER.4.A8;Integration der Mitarbeitenden in den Notfallmanagement-Prozess;Alle Mitarbeitenden SOLLTEN regelmäßig für das Thema Notfallmanagement sensibilisiert werden.;Hoch
DER.4.A8;Integration der Mitarbeitenden in den Notfallmanagement-Prozess;Zum Notfallmanagement SOLLTE es ein Schulungs- und Sensibilisierungskonzept geben.;Hoch
DER.4.A8;Integration der Mitarbeitenden in den Notfallmanagement-Prozess;Die Mitarbeitenden im Notfallmanagement-Team SOLLTEN regelmäßig geschult werden, um die benötigten Kompetenzen aufzubauen.;Hoch
