ID-Anforderung;Titel;Inhalt;Typ
IND.2.7.A1;Erfassung und Dokumentation;Alle zum SIS gehörenden Hardware- und Softwarekomponenten, relevante Informationen, Verbindungen sowie Rollen und Zuständigkeiten MÜSSEN gesondert erfasst und dokumentiert werden.;Basis
IND.2.7.A2;Zweckgebundene Nutzung der Hard- und Softwarekomponenten;Die Hard- und Softwarekomponenten, die zum SIS gehören oder im Zusammenhang mit diesem genutzt werden, DÜRFEN NICHT zweckentfremdet werde.;Basis
IND.2.7.A3;Änderung des Anwendungsprogramms auf dem Logiksystem;Bereits vorhandene Schutzmechanismen am Logiksystem MÜSSEN aktiviert sein.;Basis
IND.2.7.A3;Änderung des Anwendungsprogramms auf dem Logiksystem;Wenn dies nicht möglich ist, MÜSSEN alternative Maßnahmen ergriffen werden.;Basis
IND.2.7.A3;Änderung des Anwendungsprogramms auf dem Logiksystem;Anwendungsprogramme auf den Logiksystemen DÜRFEN NUR von autorisierten Personen geändert oder zur Übertragung freigegeben werden.;Basis
IND.2.7.A4;Verankerung von Informationssicherheit im Functional Safety Management;Alle Prozesse und Zuständigkeiten bezüglich der Informationssicherheit von SIS SOLLTEN klar definiert sein.;Standard
IND.2.7.A4;Verankerung von Informationssicherheit im Functional Safety Management;Im Functional Safety Management SOLLTEN diese beschrieben und namentlich genannt sein.;Standard
IND.2.7.A5;Notfallmanagement von SIS;Die Behandlung von Sicherheitsvorfällen SOLLTE in einem Vorfallreaktionsplan festgehalten werden.;Standard
IND.2.7.A5;Notfallmanagement von SIS;Dieser SOLLTE die Rollen und Zuständigkeiten festhalten und die zu ergreifenden Maßnahmen enthalten.;Standard
IND.2.7.A6;Sichere Planung und Spezifikation des SIS;Versehentliche oder unautorisierte Änderungen an der Spezifikation, Implementierung und an den Engineering-Daten SOLLTEN verhindert werden.;Standard
IND.2.7.A7;Trennung und Unabhängigkeit des SIS von der Umgebung;Das SIS SOLLTE rückwirkungsfrei von seiner Umgebung betrieben werden, um seine Sicherheitsfunktionen gewährleisten zu können.;Standard
IND.2.7.A7;Trennung und Unabhängigkeit des SIS von der Umgebung;Prozesse, die potenziell Auswirkungen auf das SIS haben, SOLLTEN dem Änderungsmanagementprozess des Functional Safety Management unterstellt werden.;Standard
IND.2.7.A8;Sichere Übertragung von Engineering Daten auf SIS;Die Integrität der Engineering-Daten SOLLTE während der Übertragung auf SIS sichergestellt werden.;Standard
IND.2.7.A9;Absicherung der Daten- und Signalverbindungen;Sofern keine Rückwirkungsfreiheit von Daten- und Signalverbindungen (Unidirektionalität) nachgewiesen werden kann, SOLLTEN diese Verbindungen geeignet abgesichert werden.;Standard
IND.2.7.A10;Anzeige und Alarmierung von simulierten oder gebrückten Variablen;Variablen der SIS, die durch Ersatzwerte besetzt (simuliert) oder von außen gebrückt werden, SOLLTEN in geeigneter Weise überwacht werden.;Standard
IND.2.7.A10;Anzeige und Alarmierung von simulierten oder gebrückten Variablen;Die Werte SOLLTEN den Benutzenden fortlaufend angezeigt werden.;Standard
IND.2.7.A10;Anzeige und Alarmierung von simulierten oder gebrückten Variablen;Grenzwerte SOLLTEN definiert werden.;Standard
IND.2.7.A10;Anzeige und Alarmierung von simulierten oder gebrückten Variablen;Wenn diese Grenzwerte erreicht werden, SOLLTEN die zuständigen Personen in geeigneter Weise alarmiert werden.;Standard
IND.2.7.A11;Umgang mit integrierten Systemen;Für integrierte Systeme SOLLTE eine passende Strategie entwickelt werden, die den Umgang mit Komponenten regelt, welche die funktionale Sicherheit (Safety) betreffen.;Standard
IND.2.7.A12;Sicherstellen der Integrität und Authentizität von Anwendungsprogrammen und Konfigurationsdaten;Es SOLLTE darauf geachtet werden, dass die herstellenden Unternehmen geeignete Mechanismen entwickeln und integrieren, die die Integrität und Authentizität von Konfigurationsdaten und Anwendungsprogrammen auf dem Logiksystem oder auf den damit verbundenen Sensoren und Aktoren gewährleisten.;Hoch
IND.2.7.A12;Sicherstellen der Integrität und Authentizität von Anwendungsprogrammen und Konfigurationsdaten;Jegliche Software, die als Download angeboten wird, SOLLTE vor Manipulation geschützt werden.;Hoch
IND.2.7.A12;Sicherstellen der Integrität und Authentizität von Anwendungsprogrammen und Konfigurationsdaten;Verletzungen der Integrität SOLLTEN automatisch erkannt und gemeldet werden.;Hoch
