ID-Anforderung;Titel;Inhalt;Typ
INF.1.A1;Planung der Gebäudeabsicherung;Je nach der (geplanten) Nutzung eines Gebäudes und dem Schutzbedarf der dort betriebenen Geschäftsprozesse MUSS festgelegt werden, wie das Gebäude abzusichern ist.;Basis
INF.1.A1;Planung der Gebäudeabsicherung;Bei einem Gebäude MÜSSEN insbesondere Sicherheitsaspekte zum Schutz von Personen im Gebäude, dem Schutz der Wirtschaftsgüter und der IT beachtet werden, von Brandschutz über Elektrik bis hin zur Zutrittskontrolle.;Basis
INF.1.A1;Planung der Gebäudeabsicherung;Die Sicherheitsanforderungen aus den verschiedenen Bereichen MÜSSEN aufeinander abgestimmt werden.;Basis
INF.1.A2;Angepasste Aufteilung der Stromkreise;Es MUSS regelmäßig überprüft werden, ob die Absicherung und Auslegung der Stromkreise noch den tatsächlichen Bedürfnissen genügen.;Basis
INF.1.A3;Einhaltung von Brandschutzvorschriften;Die bestehenden Brandschutzvorschriften sowie die Auflagen der Bauaufsicht MÜSSEN eingehalten werden.;Basis
INF.1.A3;Einhaltung von Brandschutzvorschriften;Die Fluchtwege MÜSSEN vorschriftsmäßig ausgeschildert und freigehalten werden.;Basis
INF.1.A3;Einhaltung von Brandschutzvorschriften;Es MUSS regelmäßig kontrolliert werden, dass die Fluchtwege benutzbar und frei von Hindernissen sind, damit das Gebäude in einer Gefahrensituation schnell geräumt werden kann.;Basis
INF.1.A3;Einhaltung von Brandschutzvorschriften;Bei der Brandschutzplanung SOLLTE die örtliche Feuerwehr hinzugezogen werden.;Basis
INF.1.A3;Einhaltung von Brandschutzvorschriften;Unnötige Brandlasten MÜSSEN vermieden werden.;Basis
INF.1.A3;Einhaltung von Brandschutzvorschriften;Es MUSS eine Brandschutzbeauftragte oder einen Brandschutzbeauftragten oder eine mit dem Aufgabengebiet betraute Person geben.;Basis
INF.1.A3;Einhaltung von Brandschutzvorschriften;Diese Person MUSS geeignet geschult sein.;Basis
INF.1.A4;Branderkennung in Gebäuden;Gebäude MÜSSEN entsprechend der Auflagen in der Baugenehmigung und dem Brandschutzkonzept folgend mit einer ausreichenden Anzahl von Rauchmeldern ausgestattet sein.;Basis
INF.1.A4;Branderkennung in Gebäuden;Ist eine lokale Alarmierung am Ort des Melders nicht ausreichend, MÜSSEN alle Melder auf eine Brandmeldezentrale (BMZ) aufgeschaltet werden.;Basis
INF.1.A4;Branderkennung in Gebäuden;Bei Rauchdetektion MUSS eine Alarmierung im Gebäude ausgelöst werden.;Basis
