ID-Anforderung;Titel;Inhalt;Typ
NET.3.4.A1;Begründete Entscheidung für den Einsatz von NAC;Die Institution MUSS grundsätzlich entscheiden, ob und in welchem Umfang NAC eingesetzt wird.;Basis
NET.3.4.A1;Begründete Entscheidung für den Einsatz von NAC;Die getroffene Entscheidung MUSS zusammen mit einer Begründung an geeigneter Stelle dokumentiert werden.;Basis
NET.3.4.A1;Begründete Entscheidung für den Einsatz von NAC;Wird NAC eingesetzt, MÜSSEN folgende Punkte geeignet thematisiert werden:;Basis
NET.3.4.A1;Begründete Entscheidung für den Einsatz von NAC;Netzbereiche und Netzkomponenten, für die NAC realisiert werden soll;Basis
NET.3.4.A1;Begründete Entscheidung für den Einsatz von NAC;Umgang mit internen Endgeräten und Fremdendgeräten;Basis
NET.3.4.A1;Begründete Entscheidung für den Einsatz von NAC;Berücksichtigung von NAC bei der Beschaffung von neuen IT-Systemen;Basis
NET.3.4.A2;Planung des Einsatzes von NAC;Der Einsatz von NAC SOLLTE umfassend und detailliert geplant werden.;Standard
NET.3.4.A2;Planung des Einsatzes von NAC;Die Planung SOLLTE dabei mindestens folgende Aspekte beinhalten:;Standard
NET.3.4.A2;Planung des Einsatzes von NAC;Erstellung von Anforderungskatalogen für Endgeräte, Access-Switches und RADIUS-Server;Standard
NET.3.4.A2;Planung des Einsatzes von NAC;Prüfung und gegebenenfalls Ergänzung des IT-Asset-Managements;Standard
NET.3.4.A2;Planung des Einsatzes von NAC;Erstellung eines spezifischen NAC-Konzepts;Standard
NET.3.4.A2;Planung des Einsatzes von NAC;Festlegung von Beschaffungs-, Betriebs-, und Incident-Prozessen für NAC-Komponenten;Standard
NET.3.4.A2;Planung des Einsatzes von NAC;Migrationsplanung;Standard
NET.3.4.A2;Planung des Einsatzes von NAC;Monitoring und Logging der NAC-Lösung;Standard
NET.3.4.A2;Planung des Einsatzes von NAC;Anbindung an sicherheitsrelevante Komponenten (z. B. Firewalls, Virenschutz, Schwachstellen-Scanner, System zur zentralen Detektion und automatisierten Echtzeitüberprüfung von Ereignismeldungen);Standard
NET.3.4.A2;Planung des Einsatzes von NAC;Zusatzfunktionen wie Profiling, Endgerätekonformitätsprüfung und Integritätsprüfung sowie Verschlüsselung auf Layer 2 mit MACsec;Standard
NET.3.4.A3;Erstellung eines Anforderungskatalogs für NAC;Die Anforderungen an die NAC-Lösung SOLLTEN in einem Anforderungskatalog erhoben werden.;Standard
NET.3.4.A3;Erstellung eines Anforderungskatalogs für NAC;Der Anforderungskatalog SOLLTE dabei die grundlegenden funktionalen Anforderungen umfassen und alle NAC-Komponenten (z. B. Endgeräte, Access-Switches und RADIUS-Server) adressieren.;Standard
NET.3.4.A3;Erstellung eines Anforderungskatalogs für NAC;Der Anforderungskatalog SOLLTE mit allen betroffenen Fachabteilungen, den zuständigen Gremien und den Richtlinien der Institution abgestimmt werden.;Standard
NET.3.4.A3;Erstellung eines Anforderungskatalogs für NAC;Der Anforderungskatalog SOLLTE regelmäßig und bei Bedarf aktualisiert werden.;Standard
NET.3.4.A3;Erstellung eines Anforderungskatalogs für NAC;Wenn NAC-Komponenten beschafft werden, SOLLTEN zugehörige Anforderungen berücksichtigt werden.;Standard
NET.3.4.A3;Erstellung eines Anforderungskatalogs für NAC;Die NAC-Lösung SOLLTE auf Basis des Anforderungskatalogs getestet werden.;Standard
NET.3.4.A4;Erstellung eines NAC-Konzepts;Ausgehend von der Entscheidung aus NET.3.4.A1 Begründete Entscheidung für den Einsatz von NAC und den Anforderungen an die NAC-Lösung SOLLTE ein NAC-Konzept erstellt werden.;Standard
NET.3.4.A4;Erstellung eines NAC-Konzepts;Das NAC-Konzept SOLLTE mit dem Segmentierungskonzept gemäß NET.1.1 Netzarchitektur und -design abgestimmt werden.;Standard
NET.3.4.A4;Erstellung eines NAC-Konzepts;Darüber hinaus SOLLTEN im NAC-Konzept mindestens folgende Aspekte festgelegt werden:;Standard
NET.3.4.A4;Erstellung eines NAC-Konzepts;Netzbereiche, in denen NAC eingeführt wird;Standard
NET.3.4.A4;Erstellung eines NAC-Konzepts;Authentisierung und Autorisierung;Standard
NET.3.4.A4;Erstellung eines NAC-Konzepts;Nutzung von Zusatzfunktionen;Standard
NET.3.4.A4;Erstellung eines NAC-Konzepts;Konfigurationsvorgaben für betroffene Endgerätetypen, Access-Switches und WLAN Access Points sowie WLAN Controller;Standard
NET.3.4.A4;Erstellung eines NAC-Konzepts;Aufbau der RADIUS-Infrastruktur und das grundlegende Regelwerk für NAC;Standard
NET.3.4.A4;Erstellung eines NAC-Konzepts;Anbindung an externe Sicherheitskomponenten wie Firewalls oder Virenschutz;Standard
NET.3.4.A4;Erstellung eines NAC-Konzepts;Anbindung an Verzeichnisdienste;Standard
NET.3.4.A4;Erstellung eines NAC-Konzepts;Das NAC-Konzept SOLLTE alle technischen und organisatorischen Vorgaben beschreiben.;Standard
NET.3.4.A4;Erstellung eines NAC-Konzepts;Insbesondere SOLLTEN alle relevanten Prozesse und die Migration thematisiert werden.;Standard
NET.3.4.A4;Erstellung eines NAC-Konzepts;Das NAC-Konzept SOLLTE regelmäßig geprüft und bei Bedarf aktualisiert werden.;Standard
NET.3.4.A5;Anpassung von Prozessen für Endgeräte bezüglich NAC;Für die Endgeräte, die in die NAC-Lösung eingebunden werden, SOLLTE NAC in allen relevanten Prozessen angemessen berücksichtigt werden.;Standard
NET.3.4.A5;Anpassung von Prozessen für Endgeräte bezüglich NAC;Insbesondere SOLLTEN die Prozesse zu Inbetriebnahme, Austausch, Änderungen und Störungen angepasst werden.;Standard
NET.3.4.A5;Anpassung von Prozessen für Endgeräte bezüglich NAC;Für Supplicant-Software, Konfiguration und Identitätsmerkmale (z. B. Zertifikate), die für NAC auf den Endgeräten erforderlich sind, SOLLTE ein Prozess festgelegt werden, um die Endgeräte zentral zu verwalten.;Standard
NET.3.4.A6;Festlegung von Notfallprozessen für NAC;Wird die Wirkkette bei NAC gestört, SOLLTE erwogen werden, die Sicherheitsmechanismen von NAC temporär in angemessenem Umfang zu deaktivieren.;Standard
NET.3.4.A6;Festlegung von Notfallprozessen für NAC;Bei den Notfallmaßnahmen, die im Notfallprozess festgelegt werden, SOLLTEN Produktivität und Informationssicherheit gegeneinander abgewogen werden.;Standard
NET.3.4.A6;Festlegung von Notfallprozessen für NAC;Dabei SOLLTEN die folgenden Optionen von Notfallmaßnahmen (RADIUS-down-Policies) betrachtet werden:;Standard
NET.3.4.A6;Festlegung von Notfallprozessen für NAC;Die bestehenden Verbindungen werden durch Mechanismen wie temporäre Aussetzung der Reauthentisierung beibehalten, jedoch werden alle neuen Anmeldeversuche abgelehnt, so dass das vorgesehene Sicherheitsniveau erhalten bleibt.;Standard
NET.3.4.A6;Festlegung von Notfallprozessen für NAC;Die dynamische Zuordnung wird für neue Anmeldeversuche ausgesetzt und stattdessen eine feste, vordefinierte Zuweisung von Netzsegmenten durch Access-Switches vorgenommen, so dass zumindest grundlegend kommuniziert werden kann.;Standard
NET.3.4.A6;Festlegung von Notfallprozessen für NAC;NAC wird auf den Access-Switches oder auf einzelnen Ports eines Access-Switches deaktiviert, so dass weiterhin uneingeschränkt kommuniziert werden kann.;Standard
NET.3.4.A6;Festlegung von Notfallprozessen für NAC;RADIUS-down-Policies SOLLTEN mit den relevanten Sicherheitsrichtlinien der Institution abgestimmt werden.;Standard
NET.3.4.A7;Nutzung sicherer Authentisierungsverfahren;Endgeräte SOLLTEN sichere Authentisierungsverfahren nach dem Stand der Technik verwenden.;Standard
