ID-Anforderung;Titel;Inhalt;Typ
OPS.1.1.7.A1;Anforderungsspezifikation für das Systemmanagement;Anforderungen an die Systemmanagement-Infrastruktur und -Prozesse MÜSSEN spezifiziert werden.;Basis
OPS.1.1.7.A1;Anforderungsspezifikation für das Systemmanagement;Dabei MÜSSEN alle wesentlichen Elemente für das Systemmanagement berücksichtigt werden.;Basis
OPS.1.1.7.A1;Anforderungsspezifikation für das Systemmanagement;Auch MÜSSEN die Sicherheitsaspekte für das Systemmanagement von Beginn an beachtet werden.;Basis
OPS.1.1.7.A1;Anforderungsspezifikation für das Systemmanagement;Zudem MÜSSEN die Schnittstellen der zu verwaltenden IT-Systeme dokumentiert werden, z. B. um die Kompatibilität von Systemmanagement-Lösung und zu verwaltendem System zu gewährleisten.;Basis
OPS.1.1.7.A2;Planung des Systemmanagements;Die Systemmanagement-Lösung und die zugrundeliegende Infrastruktur MÜSSEN geeignet geplant werden.;Basis
OPS.1.1.7.A2;Planung des Systemmanagements;Die Planung MUSS mindestens die folgenden Inhalte umfassen:;Basis
OPS.1.1.7.A2;Planung des Systemmanagements;eine detaillierte Anforderungsanalyse,;Basis
OPS.1.1.7.A2;Planung des Systemmanagements;ein aussagekräftiges Grobkonzept,;Basis
OPS.1.1.7.A2;Planung des Systemmanagements;einen umfassenden Umsetzungsplan sowie;Basis
OPS.1.1.7.A2;Planung des Systemmanagements;Meilensteine für Qualitätssicherung und Abnahme.;Basis
OPS.1.1.7.A2;Planung des Systemmanagements;Dabei MÜSSEN alle in der Anforderungsspezifikation genannten Punkte sowie das Rollen- und Berechtigungskonzept berücksichtigt werden.;Basis
OPS.1.1.7.A2;Planung des Systemmanagements;Es MÜSSEN mindestens die folgenden Themen berücksichtigt werden:;Basis
OPS.1.1.7.A2;Planung des Systemmanagements;Trennung in geeignete Bereiche für das Systemmanagement,;Basis
OPS.1.1.7.A2;Planung des Systemmanagements;Zugriffsmöglichkeiten auf und durch das Systemmanagement,;Basis
OPS.1.1.7.A2;Planung des Systemmanagements;Berechtigungen des Systemmanagements auf den zu verwaltenden Systemen,;Basis
OPS.1.1.7.A2;Planung des Systemmanagements;Netzverbindungen für den Zugriff auf und durch das Systemmanagement,;Basis
OPS.1.1.7.A2;Planung des Systemmanagements;Protokolle für den Zugriff von Benutzenden auf die Systemmanagement-Lösung,;Basis
OPS.1.1.7.A2;Planung des Systemmanagements;Protokolle für die Kommunikation zwischen der Systemmanagement-Lösung und den zu verwaltenden Systemen,;Basis
OPS.1.1.7.A2;Planung des Systemmanagements;Anforderungen an Systemmanagement-Werkzeuge,;Basis
OPS.1.1.7.A2;Planung des Systemmanagements;Schnittstellen, um erfasste Ereignis- oder Alarmmeldungen weiterzuleiten,;Basis
OPS.1.1.7.A2;Planung des Systemmanagements;Protokollierung, inklusive erforderlicher Schnittstellen zu einer zentralen Protokollierungslösung,;Basis
OPS.1.1.7.A2;Planung des Systemmanagements;Unterstützung durch das herstellende bzw. entwickelnde Unternehmen über den geplanten Einsatzzeitraum,;Basis
OPS.1.1.7.A2;Planung des Systemmanagements;Möglichkeiten zum Einspielen von Patches für die Systemmanagement-Lösung sowie für die zu verwaltenden Systeme,;Basis
OPS.1.1.7.A2;Planung des Systemmanagements;Reporting und Schnittstellen zu übergreifenden Lösungen sowie;Basis
OPS.1.1.7.A2;Planung des Systemmanagements;korrespondierende Anforderungen an die zu verwaltenden Systeme.;Basis
OPS.1.1.7.A3;Zeitsynchronisation für das Systemmanagement;Alle Komponenten der Systemmanagement-Lösung, inklusive der zu verwaltenden Systeme, MÜSSEN eine synchrone Uhrzeit nutzen.;Basis
OPS.1.1.7.A3;Zeitsynchronisation für das Systemmanagement;Die Systemzeit MUSS für jedes zu verwaltende System und für die Systemmanagement-Lösung über geeignete Protokolle synchronisiert werden.;Basis
OPS.1.1.7.A4;Absicherung der Systemmanagement-Kommunikation;Sobald die Systemmanagement-Lösung und die zu verwaltenden Systeme über die produktive Infrastruktur kommunizieren, MÜSSEN dafür sichere Protokolle verwendet werden.;Basis
OPS.1.1.7.A4;Absicherung der Systemmanagement-Kommunikation;Falls keine sicheren Protokolle verwendet werden können, dann MUSS ein eigens dafür vorgesehenes Administrationsnetz (Out-of-Band-Management) verwendet werden (siehe NET.1.1 Netzarchitektur und -design).;Basis
OPS.1.1.7.A4;Absicherung der Systemmanagement-Kommunikation;Ist auch dies nicht möglich, dann MÜSSEN ergänzende Sicherheitsmechanismen auf anderer Ebene eingesetzt werden, z. B. Tunnelmechanismen über verschlüsseltes VPN oder vergleichbare Lösungen.;Basis
OPS.1.1.7.A5;Gegenseitige Authentisierung von Systemmanagement-Lösung und zu verwaltenden Systemen;Die Authentisierung zwischen Systemmanagement-Lösung und zu verwaltenden Systemen MUSS in beide Richtungen erfolgen.;Basis
