ID-Anforderung;Titel;Inhalt;Typ
OPS.3.2.A1;Einhaltung der Schutzziele der Informationssicherheit durch ein Informationssicherheitsmanagement;Der Schutzbedarf für Vertraulichkeit, Integrität und Verfügbarkeit von Nutzenden von Outsourcing MUSS im Outsourcing-Prozess berücksichtigen werden.;Basis
OPS.3.2.A1;Einhaltung der Schutzziele der Informationssicherheit durch ein Informationssicherheitsmanagement;Dabei MUSS sichergestellt werden, dass das von den Nutzenden von Outsourcing geforderte Minimum an Informationssicherheit eingehalten wird.;Basis
OPS.3.2.A1;Einhaltung der Schutzziele der Informationssicherheit durch ein Informationssicherheitsmanagement;Zudem MÜSSEN die geltenden regulatorischen und gesetzlichen Aspekte berücksichtigt werden.;Basis
OPS.3.2.A2;Grundanforderungen an Verträge mit Nutzenden von Outsourcing;Einheitliche Grundanforderungen an Outsourcing-Verträge MÜSSEN entwickelt werden.;Basis
OPS.3.2.A2;Grundanforderungen an Verträge mit Nutzenden von Outsourcing;Diese SOLLTEN einheitlich in Verträgen umgesetzt werden.;Basis
OPS.3.2.A2;Grundanforderungen an Verträge mit Nutzenden von Outsourcing;Diese Grundanforderungen MÜSSEN Aspekte der Informationssicherheit und Sicherheitsanforderungen der Nutzenden von Outsourcing beinhalten.;Basis
OPS.3.2.A2;Grundanforderungen an Verträge mit Nutzenden von Outsourcing;Zudem MÜSSEN sie beinhalten, wie mit Weiterverlagerungen durch die Anbietenden umgegangen wird.;Basis
OPS.3.2.A2;Grundanforderungen an Verträge mit Nutzenden von Outsourcing;Die Grundanforderungen MÜSSEN beinhalten, dass die Nutzenden das Recht haben Prüfungen, Revisionen und Auditierungen durchzuführen, um sicherzustellen, dass die vertraglich geregelten Anforderungen an die Informationssicherheit eingehalten werden.;Basis
OPS.3.2.A2;Grundanforderungen an Verträge mit Nutzenden von Outsourcing;Mit den Nutzenden von Outsourcing SOLLTE eine Verschwiegenheitserklärung zum Schutz von sensiblen Daten, Vereinbarungen zum Informationsaustausch und Service-Level-Agreements vereinbart werden.;Basis
OPS.3.2.A2;Grundanforderungen an Verträge mit Nutzenden von Outsourcing;Die Grundanforderungen MÜSSEN in Vereinbarungen und Verträgen einheitlich umgesetzt werden.;Basis
