ID-Anforderung;Titel;Inhalt;Typ
ORP.5.A1;Identifikation der Rahmenbedingungen;Alle gesetzlichen, vertraglichen und sonstigen Vorgaben mit Auswirkungen auf das Informationssicherheitsmanagement MÜSSEN identifiziert und dokumentiert werden.;Basis
ORP.5.A1;Identifikation der Rahmenbedingungen;Die für die einzelnen Bereiche der Institution relevanten gesetzlichen, vertraglichen und sonstigen Vorgaben SOLLTEN in einer strukturierten Übersicht herausgearbeitet werden.;Basis
ORP.5.A1;Identifikation der Rahmenbedingungen;Die Dokumentation MUSS auf dem aktuellen Stand gehalten werden.;Basis
ORP.5.A2;Beachtung der Rahmenbedingungen;Die als sicherheitsrelevant identifizierten Anforderungen MÜSSEN bei der Planung und Konzeption von Geschäftsprozessen, Anwendungen und IT-Systemen oder bei der Beschaffung neuer Komponenten einfließen.;Basis
ORP.5.A2;Beachtung der Rahmenbedingungen;Führungskräfte, die eine rechtliche Verantwortung für die Institution tragen, MÜSSEN für die Einhaltung der gesetzlichen, vertraglichen und sonstigen Vorgaben sorgen.;Basis
ORP.5.A2;Beachtung der Rahmenbedingungen;Die Verantwortlichkeiten und Zuständigkeiten für die Einhaltung dieser Vorgaben MÜSSEN festgelegt sein.;Basis
ORP.5.A2;Beachtung der Rahmenbedingungen;Es MÜSSEN geeignete Maßnahmen identifiziert und umgesetzt werden, um Verstöße gegen relevante Anforderungen zu vermeiden.;Basis
ORP.5.A2;Beachtung der Rahmenbedingungen;Wenn solche Verstöße erkannt werden, MÜSSEN sachgerechte Korrekturmaßnahmen ergriffen werden, um die Abweichungen zu beheben.;Basis
ORP.5.A3;ENTFALLEN;Diese Anforderung ist entfallen.;Basis
ORP.5.A4;Konzeption und Organisation des Compliance Managements;In der Institution SOLLTE ein Prozess aufgebaut werden, um alle relevanten gesetzlichen, vertraglichen und sonstigen Vorgaben mit Auswirkungen auf das Informationssicherheitsmanagement zu identifizieren.;Standard
ORP.5.A4;Konzeption und Organisation des Compliance Managements;Es SOLLTEN geeignete Prozesse und Organisationsstrukturen aufgebaut werden, um basierend auf der Identifikation und Beachtung der rechtlichen Rahmenbedingungen, den Überblick über die verschiedenen rechtlichen Anforderungen an die einzelnen Bereiche der Institution zu gewährleisten.;Standard
ORP.5.A4;Konzeption und Organisation des Compliance Managements;Dafür SOLLTEN Zuständige für das Compliance Management festgelegt werden.;Standard
ORP.5.A4;Konzeption und Organisation des Compliance Managements;Compliance-Beauftragte und Informationssicherheitsbeauftragte SOLLTEN sich regelmäßig austauschen.;Standard
ORP.5.A4;Konzeption und Organisation des Compliance Managements;Sie SOLLTEN gemeinsam Sicherheitsanforderungen ins Compliance Management integrieren, sicherheitsrelevante Anforderungen in Sicherheitsmaßnahmen überführen und deren Umsetzung kontrollieren.;Standard
ORP.5.A5;Ausnahmegenehmigungen;Ist es in Einzelfällen erforderlich, von getroffenen Regelungen abzuweichen, SOLLTE die Ausnahme begründet und durch eine autorisierte Stelle nach einer Risikoabschätzung genehmigt werden.;Standard
ORP.5.A5;Ausnahmegenehmigungen;Es SOLLTE ein Genehmigungsverfahren für Ausnahmegenehmigungen geben.;Standard
ORP.5.A5;Ausnahmegenehmigungen;Es SOLLTE eine Übersicht über alle erteilten Ausnahmegenehmigungen erstellt und gepflegt werden.;Standard
ORP.5.A5;Ausnahmegenehmigungen;Ein entsprechendes Verfahren für die Dokumentation und ein Überprüfungsprozess SOLLTE etabliert werden.;Standard
ORP.5.A5;Ausnahmegenehmigungen;Alle Ausnahmegenehmigungen SOLLTEN befristet sein.;Standard
ORP.5.A6;ENTFALLEN;Diese Anforderung ist entfallen.;Standard
ORP.5.A7;ENTFALLEN;Diese Anforderung ist entfallen.;Standard
ORP.5.A8;Regelmäßige Überprüfungen des Compliance Managements;Es SOLLTE ein Verfahren etabliert sein, wie das Compliance Management und die sich daraus ergebenden Anforderungen und Maßnahmen regelmäßig auf ihre Effizienz und Effektivität überprüft werden (siehe auch DER.3.1 Audits und Revisionen).;Standard
ORP.5.A8;Regelmäßige Überprüfungen des Compliance Managements;Es SOLLTE regelmäßig geprüft werden, ob die Organisationsstruktur und die Prozesse des Compliance Managements angemessen sind.;Standard
ORP.5.A9;ENTFALLEN;Diese Anforderung ist entfallen.;Hoch
ORP.5.A10;ENTFALLEN;Diese Anforderung ist entfallen.;Hoch
ORP.5.A11;ENTFALLEN;Diese Anforderung ist entfallen.;Hoch
