ID-Anforderung;Titel;Inhalt;Typ
SYS.2.2.3.A1;Planung des Einsatzes von Cloud-Diensten unter Windows;Da Windows-basierte Geräte eng mit den Cloud-Diensten des Herstellers Microsoft verzahnt sind, MUSS vor ihrer Verwendung strategisch festgelegt werden, welche enthaltenen Cloud-Dienste in welchem Umfang genutzt werden sollen bzw. dürfen.;Basis
SYS.2.2.3.A2;Auswahl und Beschaffung einer geeigneten Windows-Version;Der Funktionsumfang und die Versorgung mit funktionalen Änderungen einer Windows-Version MÜSSEN unter Berücksichtigung des ermittelten Schutzbedarfs und des Einsatzzwecks ausgewählt werden.;Basis
SYS.2.2.3.A2;Auswahl und Beschaffung einer geeigneten Windows-Version;Die Umsetzbarkeit der erforderlichen Absicherungsmaßnahmen MUSS bei der Auswahl berücksichtigt werden.;Basis
SYS.2.2.3.A2;Auswahl und Beschaffung einer geeigneten Windows-Version;Basierend auf dem Ergebnis der Überprüfung MUSS der etablierte Beschaffungsprozess um die Auswahl des entsprechenden Lizenzmodells und „Service Branches“ (CB, CBB oder LTSC) erweitert werden.;Basis
SYS.2.2.3.A3;ENTFALLEN;Diese Anforderung ist entfallen.;Basis
SYS.2.2.3.A4;Telemetrie und Datenschutzeinstellungen unter Windows;Um die Übertragung von Diagnose- und Nutzungsdaten an Microsoft stark zu reduzieren, MUSS das Telemetrie-Level 0 (Security) in der Enterprise-Edition von Windows konfiguriert werden.;Basis
SYS.2.2.3.A4;Telemetrie und Datenschutzeinstellungen unter Windows;Wenn diese Einstellung nicht wirksam umgesetzt wird oder bei anderen Windows-Edition umgesetzt werden kann, dann MUSS durch geeignete Maßnahmen, etwa auf Netzebene, sichergestellt werden, dass die Daten nicht an den Hersteller übertragen werden.;Basis
SYS.2.2.3.A5;Schutz vor Schadsoftware unter Windows;Sofern nicht gleich- oder höherwertige Maßnahmen, wie z. B. Ausführungskontrolle, zum Schutz des IT-Systems vor einer Infektion mit Schadsoftware getroffen wurden, MUSS eine spezialisierte Komponente zum Schutz vor Schadsoftware auf Windows-Clients eingesetzt werden.;Basis
SYS.2.2.3.A6;Integration von Online-Konten in das Betriebssystem;Die Anmeldung am System sowie an der Domäne DARF NUR mit dem Konto eines selbst betriebenen Verzeichnisdienstes möglich sein.;Basis
SYS.2.2.3.A6;Integration von Online-Konten in das Betriebssystem;Anmeldungen mit lokalen Konten SOLLTEN Administrierenden vorbehalten sein.;Basis
SYS.2.2.3.A6;Integration von Online-Konten in das Betriebssystem;Online-Konten zur Anmeldung, etwa ein Microsoft-Konto oder Konten anderer Identitätsmanagementsysteme, DÜRFEN NICHT verwendet werden, da hier personenbezogene Daten an die Systeme Dritter übertragen werden.;Basis
SYS.2.2.3.A7;ENTFALLEN;Diese Anforderung ist entfallen.;Standard
SYS.2.2.3.A8;ENTFALLEN;Diese Anforderung ist entfallen.;Standard
SYS.2.2.3.A9;Sichere zentrale Authentisierung in Windows-Netzen;Für die zentrale Authentisierung SOLLTE ausschließlich Kerberos eingesetzt werden.;Standard
