ID-Anforderung;Titel;Inhalt;Typ
APP.4.6.A1;Absicherung von Reports mit Berechtigungsprüfungen;Es MUSS sichergestellt sein, dass nur berechtigte Personen selbst programmierte Auswertungen (Reports) starten können.;Basis
APP.4.6.A1;Absicherung von Reports mit Berechtigungsprüfungen;Deswegen MUSS jeder Report explizite, zum Kontext passende Berechtigungsprüfungen durchführen.;Basis
APP.4.6.A2;Formal korrekte Auswertung von Berechtigungsprüfungen;Jede Berechtigungsprüfung im Code MUSS durch Abfrage des Rückgabewertes SY-SUBRC ausgewertet werden.;Basis
APP.4.6.A3;Berechtigungsprüfung vor dem Start einer Transaktion;Wenn Entwickelnde den Befehl CALL TRANSACTION verwenden, MUSS vorher immer eine Startberechtigungsprüfung durchgeführt werden.;Basis
APP.4.6.A4;Verzicht auf proprietäre Berechtigungsprüfungen;Jede Berechtigungsprüfung MUSS technisch über den dafür vorgesehenen Befehl AUTHORITY-CHECK erfolgen.;Basis
APP.4.6.A4;Verzicht auf proprietäre Berechtigungsprüfungen;Proprietäre Berechtigungsprüfungen, z. B. basierend auf Konto-Kennungen, DÜRFEN NICHT benutzt werden.;Basis
APP.4.6.A5;Erstellung einer Richtlinie für die ABAP-Entwicklung;Es SOLLTE eine Richtlinie für die Entwicklung von ABAP-Programmen erstellt werden.;Standard
APP.4.6.A5;Erstellung einer Richtlinie für die ABAP-Entwicklung;Die Richtlinie SOLLTE neben Namenskonventionen auch Vorgaben zu ABAP-Elementen beinhalten, die verwendet bzw. nicht verwendet werden dürfen.;Standard
APP.4.6.A5;Erstellung einer Richtlinie für die ABAP-Entwicklung;Die Anforderungen aus diesem Baustein SOLLTEN in die Richtlinie aufgenommen werden.;Standard
APP.4.6.A5;Erstellung einer Richtlinie für die ABAP-Entwicklung;Die Richtlinie SOLLTE für die Entwickelnden verbindlich sein.;Standard
APP.4.6.A6;Vollständige Ausführung von Berechtigungsprüfungen;Bei einer Berechtigungsprüfung im ABAP-Code (AUTHORITY-CHECK <OBJECT>) SOLLTE sichergestellt sein, dass alle Felder des relevanten Berechtigungsobjekts überprüft werden.;Standard
APP.4.6.A6;Vollständige Ausführung von Berechtigungsprüfungen;Wenn einzelne Felder tatsächlich nicht benötigt werden, SOLLTEN sie als DUMMY gekennzeichnet werden.;Standard
APP.4.6.A6;Vollständige Ausführung von Berechtigungsprüfungen;Zusätzlich SOLLTE am Feld der Grund für die Ausnahme dokumentiert werden.;Standard
APP.4.6.A7;Berechtigungsprüfung während der Eingabeverarbeitung;Funktionscodes und Bildschirmelemente von ABAP-Dynpro-Anwendungen SOLLTEN konsistent sein.;Standard
APP.4.6.A7;Berechtigungsprüfung während der Eingabeverarbeitung;Wenn ein Bildschirmelement abgeschaltet wurde, dann SOLLTE eine Anwendung NICHT ohne adäquate Berechtigungsprüfungen auf Ereignisse dieses Elements reagieren.;Standard
APP.4.6.A7;Berechtigungsprüfung während der Eingabeverarbeitung;Wenn bestimmte Einträge eines Dynpro-Menüs ausgeblendet oder einzelne Schaltflächen deaktiviert werden, dann SOLLTEN auch die zugehörigen Funktionscodes nicht ausgeführt werden.;Standard
APP.4.6.A8;Schutz vor unberechtigten oder manipulierenden Zugriffen auf das Dateisystem;Wenn Zugriffe auf Dateien des SAP-Servers von Eingaben der Benutzenden abhängen, SOLLTEN diese Eingaben vor dem Zugriff validiert werden.;Standard
APP.4.6.A9;Berechtigungsprüfung in remote-fähigen Funktionsbausteinen;Es SOLLTE sichergestellt werden, dass alle remote-fähigen Funktionsbausteine im Programmcode explizit prüfen, ob der Aufrufende berechtigt ist, die zugehörige Businesslogik auszuführen.;Standard
APP.4.6.A10;Verhinderung der Ausführung von Betriebssystemkommandos;Jedem Aufruf eines erlaubten Betriebssystemkommandos SOLLTE eine entsprechende Berechtigungsprüfung (Berechtigungsobjekt S_LOG_COM) vorangestellt werden.;Standard
APP.4.6.A10;Verhinderung der Ausführung von Betriebssystemkommandos;Eingaben von Benutzenden SOLLTEN NICHT Teil eines Kommandos sein.;Standard
APP.4.6.A10;Verhinderung der Ausführung von Betriebssystemkommandos;Deswegen SOLLTEN Betriebssystemaufrufe ausschließlich über dafür vorgesehene SAP-Standardfunktionsbausteine ausgeführt werden.;Standard
APP.4.6.A11;Vermeidung von eingeschleustem Schadcode;Die ABAP-Befehle INSERT REPORT und GENERATE SUBROUTINE POOL SOLLTEN NICHT verwendet werden.;Standard
APP.4.6.A12;Vermeidung von generischer Modulausführung;Transaktionen, Programme, Funktionsbausteine und Methoden SOLLTEN NICHT generisch ausführbar sein.;Standard
APP.4.6.A12;Vermeidung von generischer Modulausführung;Sollte es wichtige Gründe für eine generische Ausführung geben, SOLLTE detailliert dokumentiert werden, wo und warum dies geschieht.;Standard
APP.4.6.A12;Vermeidung von generischer Modulausführung;Zusätzlich SOLLTE eine Allowlist definiert werden, die alle erlaubten Module enthält.;Standard
APP.4.6.A12;Vermeidung von generischer Modulausführung;Bevor ein Modul aufgerufen wird, SOLLTE die Eingabe von Benutzenden mit der Allowlist abgeglichen werden.;Standard
APP.4.6.A13;Vermeidung von generischem Zugriff auf Tabelleninhalte;Tabelleninhalte SOLLTEN NICHT generisch ausgelesen werden.;Standard
APP.4.6.A13;Vermeidung von generischem Zugriff auf Tabelleninhalte;Sollte es wichtige Gründe dafür geben, dies doch zu tun, SOLLTE detailliert dokumentiert werden, wo und warum dies geschieht.;Standard
APP.4.6.A13;Vermeidung von generischem Zugriff auf Tabelleninhalte;Außerdem SOLLTE dann gewährleistet sein, dass sich der dynamische Tabellenname auf eine kontrollierbare Liste von Werten beschränkt.;Standard
APP.4.6.A14;Vermeidung von nativen SQL-Anweisungen;Die Schnittstelle ABAP Database Connectivity (ADBC) SOLLTE NICHT verwendet werden.;Standard
APP.4.6.A14;Vermeidung von nativen SQL-Anweisungen;Eingaben von Benutzenden SOLLTEN NICHT Teil von ADBC-Befehlen sein.;Standard
APP.4.6.A15;Vermeidung von Datenlecks;Es SOLLTE eine ausreichend sichere Berechtigungsprüfung durchgeführt werden, bevor geschäftskritische Daten angezeigt, übermittelt oder exportiert werden.;Standard
APP.4.6.A15;Vermeidung von Datenlecks;Vorgesehene (gewollte) Möglichkeiten des Exports SOLLTEN dokumentiert werden.;Standard
APP.4.6.A16;Verzicht auf systemabhängige Funktionsausführung;ABAP-Programme SOLLTEN NICHT systemabhängig programmiert werden, so dass sie nur auf einem bestimmten SAP-System ausgeführt werden können.;Standard
APP.4.6.A16;Verzicht auf systemabhängige Funktionsausführung;Sollte dies jedoch unbedingt erforderlich sein, SOLLTE es detailliert dokumentiert werden.;Standard
APP.4.6.A16;Verzicht auf systemabhängige Funktionsausführung;Außerdem SOLLTE der Code dann manuell überprüft werden.;Standard
APP.4.6.A17;Verzicht auf mandantenabhängige Funktionsausführung;ABAP-Programme SOLLTEN NICHT mandantenabhängig programmiert werden, so dass sie nur von einem bestimmten Mandanten ausgeführt werden können.;Standard
APP.4.6.A17;Verzicht auf mandantenabhängige Funktionsausführung;Sollte dies jedoch unbedingt erforderlich sein, SOLLTE es detailliert dokumentiert werden.;Standard
APP.4.6.A17;Verzicht auf mandantenabhängige Funktionsausführung;Außerdem SOLLTEN dann zusätzliche Sicherheitsmaßnahmen ergriffen werden, wie beispielsweise eine manuelle Code-Überprüfung (manuelles Code-Review) oder eine Qualitätssicherung auf dem entsprechenden Mandanten.;Standard
APP.4.6.A18;Vermeidung von Open-SQL-Injection-Schwachstellen;Dynamisches Open SQL SOLLTE NICHT verwendet werden.;Standard
APP.4.6.A18;Vermeidung von Open-SQL-Injection-Schwachstellen;Falls Datenbankzugriffe mit dynamischen SQL-Bedingungen notwendig sind, SOLLTEN KEINE Eingaben von Benutzenden in der jeweiligen Abfrage übertragen werden.;Standard
APP.4.6.A18;Vermeidung von Open-SQL-Injection-Schwachstellen;Wenn das dennoch der Fall ist, SOLLTEN die Eingaben von Benutzenden zwingend geprüft werden (Output Encoding).;Standard
APP.4.6.A19;Schutz vor Cross-Site-Scripting;Auf selbst entwickeltes HTML in Business-Server-Pages-(BSP)-Anwendungen oder HTTP-Handlern SOLLTE möglichst verzichtet werden.;Standard
APP.4.6.A20;Keine Zugriffe auf Daten eines anderen Mandanten;Die automatische Mandantentrennung SOLLTE NICHT umgangen werden.;Standard
APP.4.6.A20;Keine Zugriffe auf Daten eines anderen Mandanten;Auf Daten anderer Mandanten SOLLTE NICHT mittels EXEC SQL oder der Open SQL Option CLIENT SPECIFIED zugegriffen werden.;Standard
APP.4.6.A21;Verbot von verstecktem ABAP-Quelltext;Der Quelltext eines selbst erstellten ABAP-Programms SOLLTE immer lesbar sein.;Standard
APP.4.6.A21;Verbot von verstecktem ABAP-Quelltext;Techniken, die das verhindern (Obfuskation), SOLLTEN NICHT verwendet werden.;Standard
APP.4.6.A22;Einsatz von ABAP-Codeanalyse Werkzeugen;Zur automatisierten Überprüfung von ABAP-Code auf sicherheitsrelevante Programmierfehler, funktionale und technische Fehler sowie auf qualitative Schwachstellen SOLLTE ein ABAP-Codeanalyse-Werkzeug eingesetzt werden.;Hoch
