ID-Anforderung;Titel;Inhalt;Typ
CON.7.A1;Sicherheitsrichtlinie zur Informationssicherheit auf Auslandsreisen;Alle für die Informationssicherheit relevanten Aspekte, die in Verbindung mit den Tätigkeiten im Ausland stehen, MÜSSEN betrachtet und geregelt werden.;Basis
CON.7.A1;Sicherheitsrichtlinie zur Informationssicherheit auf Auslandsreisen;Die Sicherheitsmaßnahmen, die in diesem Zusammenhang ergriffen werden, MÜSSEN in einer Sicherheitsrichtlinie zur Informationssicherheit auf Auslandsreisen dokumentiert werden.;Basis
CON.7.A1;Sicherheitsrichtlinie zur Informationssicherheit auf Auslandsreisen;Diese Sicherheitsrichtlinie oder ein entsprechendes Merkblatt mit zu beachtenden Sicherheitsmaßnahmen MÜSSEN transnational agierenden Mitarbeitenden ausgehändigt werden.;Basis
CON.7.A1;Sicherheitsrichtlinie zur Informationssicherheit auf Auslandsreisen;Erweiternd MUSS ein Sicherheitskonzept zum Umgang mit tragbaren IT-Systemen auf Auslandsreisen erstellt werden, das alle Sicherheitsanforderungen und -maßnahmen angemessen detailliert beschreibt.;Basis
CON.7.A1;Sicherheitsrichtlinie zur Informationssicherheit auf Auslandsreisen;Die Umsetzung des Sicherheitskonzeptes MUSS regelmäßig überprüft werden.;Basis
CON.7.A2;Sensibilisierung der Mitarbeitenden zur Informationssicherheit auf Auslandsreisen;Benutzende MÜSSEN im verantwortungsvollen Umgang mit Informationstechnik bzw. tragbaren IT-Systemen auf Auslandsreisen sensibilisiert und geschult werden.;Basis
CON.7.A2;Sensibilisierung der Mitarbeitenden zur Informationssicherheit auf Auslandsreisen;Benutzende MÜSSEN die Gefahren kennen, die durch den unangemessenen Umgang mit Informationen, die unsachgemäße Vernichtung von Daten und Datenträgern oder durch Schadsoftware und den unsicheren Datenaustausch entstehen können.;Basis
CON.7.A2;Sensibilisierung der Mitarbeitenden zur Informationssicherheit auf Auslandsreisen;Außerdem MÜSSEN die Grenzen der eingesetzten Sicherheitsmaßnahmen aufgezeigt werden.;Basis
CON.7.A2;Sensibilisierung der Mitarbeitenden zur Informationssicherheit auf Auslandsreisen;Die Benutzenden MÜSSEN dazu befähigt und darin bestärkt werden, einem Verlust oder Diebstahl vorzubeugen bzw. bei Ungereimtheiten fachliche Beratung einzuholen.;Basis
CON.7.A2;Sensibilisierung der Mitarbeitenden zur Informationssicherheit auf Auslandsreisen;Außerdem SOLLTEN Mitarbeitende auf gesetzliche Anforderungen einzelner Reiseziele in Bezug auf die Reisesicherheit hingewiesen werden.;Basis
CON.7.A2;Sensibilisierung der Mitarbeitenden zur Informationssicherheit auf Auslandsreisen;Hierzu MUSS sich der oder die Informationssicherheitsbeauftragte über die gesetzlichen Anforderungen im Rahmen der Informationssicherheit (z. B. Datenschutz, IT-Sicherheitsgesetz) informieren und die Mitarbeitenden sensibilisieren.;Basis
CON.7.A3;Identifikation länderspezifischer Regelungen, Reise- und Umgebungsbedingungen;Vor Reiseantritt MÜSSEN die jeweils geltenden Regelungen der einzelnen Länder durch das Informationssicherheitsmanagement bzw. die Personalabteilung geprüft und an die entsprechenden Mitarbeitenden kommuniziert werden.;Basis
CON.7.A3;Identifikation länderspezifischer Regelungen, Reise- und Umgebungsbedingungen;Die Institution MUSS geeignete Regelungen und Maßnahmen erstellen, umsetzen und kommunizieren, die den angemessenen Schutz interner Daten ermöglichen.;Basis
CON.7.A3;Identifikation länderspezifischer Regelungen, Reise- und Umgebungsbedingungen;Dabei MÜSSEN die individuellen Reise- und Umgebungsbedingungen berücksichtigt werden.;Basis
CON.7.A3;Identifikation länderspezifischer Regelungen, Reise- und Umgebungsbedingungen;Außerdem MÜSSEN sich Mitarbeitende vor Reiseantritt mit den klimatischen Bedingungen des Reiseziels auseinandersetzen und abklären, welche Schutzmaßnahmen er für sich benötigt, z. B. Impfungen, und welche Schutzmaßnahmen für die mitgeführte Informationstechnik nötig sind.;Basis
CON.7.A4;Verwendung von Sichtschutz-Folien;Benutzende MÜSSEN insbesondere im Ausland darauf achten, dass bei der Arbeit mit mobilen IT-Geräten keine schützenswerten Informationen ausgespäht werden können.;Basis
CON.7.A4;Verwendung von Sichtschutz-Folien;Dazu MUSS ein angemessener Sichtschutz verwendet werden, der den gesamten Bildschirm des jeweiligen Gerätes umfasst und ein Ausspähen von Informationen erschwert.;Basis
CON.7.A5;Verwendung der Bildschirm-/Code-Sperre;Eine Bildschirm- bzw. Code-Sperre, die verhindert, dass Dritte auf die Daten mobiler Endgeräte zugreifen können, MUSS verwendet werden.;Basis
