ID-Anforderung;Titel;Inhalt;Typ
DER.3.2.A1;Benennung von Verantwortlichen für die IS-Revision;Die Institution MUSS eine verantwortliche Person für die IS-Revision benennen.;Basis
DER.3.2.A1;Benennung von Verantwortlichen für die IS-Revision;Diese MUSS die IS-Revisionen planen, initiieren und die Ergebnisse nachverfolgen.;Basis
DER.3.2.A2;Erstellung eines IS-Revisionshandbuches;Für die IS-Revision MUSS ein IS-Revisionshandbuch erstellt werden, das die angestrebten Ziele, einzuhaltende gesetzliche Vorgaben, Informationen über die Organisation, die Ressourcen und die Rahmenbedingungen enthält.;Basis
DER.3.2.A2;Erstellung eines IS-Revisionshandbuches;Außerdem MUSS darin die Archivierung der Dokumentation beschrieben sein.;Basis
DER.3.2.A2;Erstellung eines IS-Revisionshandbuches;Das Handbuch MUSS von der Leitungsebene verabschiedet werden.;Basis
DER.3.2.A3;Definition der Prüfungsgrundlage;Die BSI-Standards 200-1 bis 200-3 sowie das IT-Grundschutz-Kompendium MÜSSEN die Prüfungsgrundlagen für die IS-Revision sein.;Basis
DER.3.2.A3;Definition der Prüfungsgrundlage;Dabei SOLLTE die Standard-Absicherung des IT-Grundschutzes verwendet werden.;Basis
DER.3.2.A3;Definition der Prüfungsgrundlage;Diese Prüfungsgrundlagen MÜSSEN allen Beteiligten bekannt sein.;Basis
DER.3.2.A4;Erstellung einer Planung für die IS-Revision;Wenn die Institution nicht nach ISO 27001 auf Basis von IT-Grundschutz zertifiziert ist, MUSS sichergestellt werden, dass mindestens alle drei Jahre eine IS-Kurz- oder Querschnitts-Revision durchgeführt wird.;Basis
DER.3.2.A4;Erstellung einer Planung für die IS-Revision;Darüber hinaus SOLLTEN weitere Revisionen eingeplant werden, falls der Informationsverbund wesentlich verändert wird.;Basis
DER.3.2.A4;Erstellung einer Planung für die IS-Revision;Es SOLLTE eine mehrjährige Grobplanung für die Revisionsvorhaben erstellt werden.;Basis
DER.3.2.A4;Erstellung einer Planung für die IS-Revision;Diese SOLLTE dann durch eine jährliche Detailplanung konkretisiert werden.;Basis
DER.3.2.A5;Auswahl eines geeigneten IS-Revisionsteams;Es MUSS ein aus mindestens zwei Personen bestehendes IS-Revisionsteam zusammengestellt oder beauftragt werden.;Basis
DER.3.2.A5;Auswahl eines geeigneten IS-Revisionsteams;Dem IS-Revisionsteam MUSS ein uneingeschränktes Informations- und Einsichtnahmerecht für seine Tätigkeit eingeräumt werden.;Basis
DER.3.2.A5;Auswahl eines geeigneten IS-Revisionsteams;Bei eigenen IS-Revisionsteams MÜSSEN die einzelnen Mitglieder unparteilich sein.;Basis
DER.3.2.A5;Auswahl eines geeigneten IS-Revisionsteams;Die Mitglieder eines IS-Revisionsteams DÜRFEN NICHT an der Planung oder Umsetzung des ISMS beteiligt sein oder gewesen sein.;Basis
DER.3.2.A6;Vorbereitung einer IS-Revision;Es MUSS ein IS-Revisionsteam mit einer IS-Revision beauftragt werden.;Basis
DER.3.2.A6;Vorbereitung einer IS-Revision;Das IS-Revisionsteam MUSS festlegen, welche Referenzdokumente für eine IS-Revision benötigt werden.;Basis
DER.3.2.A6;Vorbereitung einer IS-Revision;Die zu prüfende Institution MUSS das Sicherheitskonzept und alle weiteren erforderlichen Dokumente an das IS-Revisionsteam übergeben.;Basis
DER.3.2.A7;Durchführung einer IS-Revision;Im Rahmen einer IS-Revision MÜSSEN eine Dokumenten- und eine Vor-Ort-Prüfung durch das IS-Revisionsteam durchgeführt werden.;Basis
DER.3.2.A7;Durchführung einer IS-Revision;Sämtliche Ergebnisse dieser beiden Prüfungen MÜSSEN dokumentiert und in einem IS-Revisionsbericht zusammengefasst werden.;Basis
DER.3.2.A7;Durchführung einer IS-Revision;Bevor erstmalig eine IS-Querschnittsrevision durchgeführt wird, MUSS als IS-Revisionsverfahren eine IS-Kurzrevision ausgewählt werden.;Basis
DER.3.2.A7;Durchführung einer IS-Revision;Die IS-Kurzrevision MUSS mit positivem Votum abgeschlossen werden, bevor eine IS-Querschnittsrevision durchgeführt wird.;Basis
DER.3.2.A8;Aufbewahrung von IS-Revisionsberichten;Die Institution MUSS den IS-Revisionsbericht und die diesem zugrundeliegenden Referenzdokumente mindestens für zehn Jahre ab Zustellung des Berichts sicher aufbewahren, sofern keine anders lautenden Gesetze oder Verordnungen gelten.;Basis
DER.3.2.A8;Aufbewahrung von IS-Revisionsberichten;Die Institution MUSS sicherstellen, dass lediglich berechtigte Personen auf die IS-Revisionsberichte und die Referenzdokumente zugreifen können.;Basis
DER.3.2.A9;Integration in den Informationssicherheitsprozess;Die Institution SOLLTE sicherstellen, dass IS-Revisionen ein Teil des Sicherheitsprozesses sind.;Standard
DER.3.2.A9;Integration in den Informationssicherheitsprozess;Außerdem SOLLTEN die Ergebnisse von IS-Revisionen in das ISMS zurückfließen und zu dessen Verbesserung beitragen.;Standard
DER.3.2.A9;Integration in den Informationssicherheitsprozess;Weiter SOLLTEN die Ergebnisse der IS-Revisionen sowie die Aktivitäten, um Mängel zu beseitigen und um die Qualität zu verbessern, in den regelmäßigen Bericht des oder der ISB an die Institutionsleitung aufgenommen werden.;Standard
