ID-Anforderung;Titel;Inhalt;Typ
INF.8.A1;Sichern von dienstlichen Unterlagen am häuslichen Arbeitsplatz;Dienstliche Unterlagen und Datenträger MÜSSEN am häuslichen Arbeitsplatz so aufbewahrt werden, dass keine unbefugten Personen darauf zugreifen können.;Basis
INF.8.A1;Sichern von dienstlichen Unterlagen am häuslichen Arbeitsplatz;Daher MÜSSEN ausreichend verschließbare Behältnisse (z. B. abschließbare Rollcontainer oder Schränke) vorhanden sein.;Basis
INF.8.A1;Sichern von dienstlichen Unterlagen am häuslichen Arbeitsplatz;Alle Mitarbeitenden MÜSSEN ihre Arbeitsplätze aufgeräumt hinterlassen und sicherstellen, dass keine vertraulichen Informationen frei zugänglich sind.;Basis
INF.8.A2;Transport von Arbeitsmaterial zum häuslichen Arbeitsplatz;Es MUSS geregelt werden, welche Datenträger und Unterlagen am häuslichen Arbeitsplatz bearbeitet und zwischen der Institution und dem häuslichen Arbeitsplatz hin und her transportiert werden dürfen.;Basis
INF.8.A2;Transport von Arbeitsmaterial zum häuslichen Arbeitsplatz;Generell MÜSSEN Datenträger und andere Unterlagen sicher transportiert werden.;Basis
INF.8.A2;Transport von Arbeitsmaterial zum häuslichen Arbeitsplatz;Diese Regelungen MÜSSEN den Mitarbeitenden in geeigneter Weise bekanntgegeben werden.;Basis
INF.8.A3;Schutz vor unbefugtem Zutritt am häuslichen Arbeitsplatz;Den Mitarbeitenden MUSS mitgeteilt werden, welche Regelungen und Maßnahmen zum Einbruchs- und Zutrittsschutz zu beachten sind.;Basis
INF.8.A3;Schutz vor unbefugtem Zutritt am häuslichen Arbeitsplatz;So MUSS darauf hingewiesen werden, Fenster zu schließen und Türen abzuschließen, wenn der häusliche Arbeitsplatz nicht besetzt ist.;Basis
INF.8.A3;Schutz vor unbefugtem Zutritt am häuslichen Arbeitsplatz;Es MUSS sichergestellt werden, dass unbefugte Personen zu keiner Zeit den häuslichen Arbeitsplatz betreten und auf dienstliche IT und Unterlagen zugreifen können.;Basis
INF.8.A3;Schutz vor unbefugtem Zutritt am häuslichen Arbeitsplatz;Diese Maßnahmen MÜSSEN in sinnvollen zeitlichen Abständen überprüft werden, mindestens aber, wenn sich die häuslichen Verhältnisse ändern.;Basis
INF.8.A4;Geeignete Einrichtung des häuslichen Arbeitsplatzes;Der häusliche Arbeitsplatz SOLLTE durch eine geeignete Raumaufteilung von den privaten Bereichen der Wohnung getrennt sein.;Standard
INF.8.A4;Geeignete Einrichtung des häuslichen Arbeitsplatzes;Der häusliche Arbeitsplatz SOLLTE mit Büromöbeln eingerichtet sein, die ergonomischen Anforderungen entsprechen.;Standard
INF.8.A4;Geeignete Einrichtung des häuslichen Arbeitsplatzes;Ebenso SOLLTE der häusliche Arbeitsplatz durch geeignete technische Sicherungsmaßnahmen vor Einbrüchen geschützt werden.;Standard
INF.8.A4;Geeignete Einrichtung des häuslichen Arbeitsplatzes;Die Schutzmaßnahmen SOLLTEN an die örtlichen Gegebenheiten und den vorliegenden Schutzbedarf angepasst sein.;Standard
INF.8.A5;Entsorgung von vertraulichen Informationen am häuslichen Arbeitsplatz;Vertrauliche Informationen SOLLTEN sicher entsorgt werden.;Standard
INF.8.A5;Entsorgung von vertraulichen Informationen am häuslichen Arbeitsplatz;In einer speziellen Sicherheitsrichtlinie SOLLTE daher geregelt werden, wie schutzbedürftiges Material zu beseitigen ist.;Standard
INF.8.A5;Entsorgung von vertraulichen Informationen am häuslichen Arbeitsplatz;Es SOLLTEN die dafür benötigten Entsorgungsmöglichkeiten verfügbar sein.;Standard
INF.8.A6;Umgang mit dienstlichen Unterlagen bei erhöhtem Schutzbedarf am häuslichen Arbeitsplatz;Wenn Informationen mit erhöhtem Schutzbedarf bearbeitet werden, SOLLTE überlegt werden, von einem häuslichen Arbeitsplatz ganz abzusehen.;Hoch
INF.8.A6;Umgang mit dienstlichen Unterlagen bei erhöhtem Schutzbedarf am häuslichen Arbeitsplatz;Anderenfalls SOLLTE der häusliche Arbeitsplatz durch erweiterte, hochwertige technische Sicherungsmaßnahmen geschützt werden.;Hoch
