ID-Anforderung;Titel;Inhalt;Typ
ISMS.1.A1;Übernahme der Gesamtverantwortung für Informationssicherheit durch die Leitung;Die Institutionsleitung MUSS die Gesamtverantwortung für Informationssicherheit in der Institution übernehmen.;Basis
ISMS.1.A1;Übernahme der Gesamtverantwortung für Informationssicherheit durch die Leitung;Dies MUSS für alle Beteiligten deutlich erkennbar sein.;Basis
ISMS.1.A1;Übernahme der Gesamtverantwortung für Informationssicherheit durch die Leitung;Die Institutionsleitung MUSS den Sicherheitsprozess initiieren, steuern und kontrollieren.;Basis
ISMS.1.A1;Übernahme der Gesamtverantwortung für Informationssicherheit durch die Leitung;Die Institutionsleitung MUSS Informationssicherheit vorleben.;Basis
ISMS.1.A1;Übernahme der Gesamtverantwortung für Informationssicherheit durch die Leitung;Die Institutionsleitung MUSS die Zuständigkeiten für Informationssicherheit festlegen.;Basis
ISMS.1.A1;Übernahme der Gesamtverantwortung für Informationssicherheit durch die Leitung;Die zuständigen Mitarbeitenden MÜSSEN mit den erforderlichen Kompetenzen und Ressourcen ausgestattet werden.;Basis
ISMS.1.A1;Übernahme der Gesamtverantwortung für Informationssicherheit durch die Leitung;Die Institutionsleitung MUSS sich regelmäßig über den Status der Informationssicherheit informieren lassen.;Basis
ISMS.1.A1;Übernahme der Gesamtverantwortung für Informationssicherheit durch die Leitung;Insbesondere MUSS sich die Institutionsleitung über mögliche Risiken und Konsequenzen aufgrund fehlender Sicherheitsmaßnahmen informieren lassen.;Basis
ISMS.1.A2;Festlegung der Sicherheitsziele und -strategie;Die Institutionsleitung MUSS den Sicherheitsprozess initiieren und etablieren.;Basis
ISMS.1.A2;Festlegung der Sicherheitsziele und -strategie;Dafür MUSS die Institutionsleitung angemessene Sicherheitsziele sowie eine Strategie für Informationssicherheit festlegen und dokumentieren.;Basis
ISMS.1.A2;Festlegung der Sicherheitsziele und -strategie;Es MÜSSEN konzeptionelle Vorgaben erarbeitet und organisatorische Rahmenbedingungen geschaffen werden, um den ordnungsgemäßen und sicheren Umgang mit Informationen innerhalb aller Geschäftsprozesse des Unternehmens oder Fachaufgaben der Behörde zu ermöglichen.;Basis
ISMS.1.A2;Festlegung der Sicherheitsziele und -strategie;Die Institutionsleitung MUSS die Sicherheitsstrategie und die Sicherheitsziele tragen und verantworten.;Basis
ISMS.1.A2;Festlegung der Sicherheitsziele und -strategie;Die Institutionsleitung MUSS die Sicherheitsziele und die Sicherheitsstrategie regelmäßig dahingehend überprüfen, ob sie noch aktuell und angemessen sind und wirksam umgesetzt werden können.;Basis
ISMS.1.A3;Erstellung einer Leitlinie zur Informationssicherheit;Die Institutionsleitung MUSS eine übergeordnete Leitlinie zur Informationssicherheit verabschieden.;Basis
ISMS.1.A3;Erstellung einer Leitlinie zur Informationssicherheit;Diese MUSS den Stellenwert der Informationssicherheit, die Sicherheitsziele, die wichtigsten Aspekte der Sicherheitsstrategie sowie die Organisationsstruktur für Informationssicherheit beschreiben.;Basis
ISMS.1.A3;Erstellung einer Leitlinie zur Informationssicherheit;Für die Sicherheitsleitlinie MUSS ein klarer Geltungsbereich festgelegt sein.;Basis
ISMS.1.A3;Erstellung einer Leitlinie zur Informationssicherheit;In der Leitlinie zur Informationssicherheit MÜSSEN die Sicherheitsziele und der Bezug der Sicherheitsziele zu den Geschäftszielen und Aufgaben der Institution erläutert werden.;Basis
ISMS.1.A3;Erstellung einer Leitlinie zur Informationssicherheit;Die Institutionsleitung MUSS die Leitlinie zur Informationssicherheit allen Mitarbeitenden und sonstigen Mitgliedern der Institution bekannt geben.;Basis
ISMS.1.A3;Erstellung einer Leitlinie zur Informationssicherheit;Die Leitlinie zur Informationssicherheit SOLLTE regelmäßig aktualisiert werden.;Basis
ISMS.1.A4;Benennung eines oder einer Informationssicherheitsbeauftragten;Die Institutionsleitung MUSS einen oder eine ISB benennen.;Basis
ISMS.1.A4;Benennung eines oder einer Informationssicherheitsbeauftragten;Der oder die ISB MUSS die Informationssicherheit in der Institution fördern und den Sicherheitsprozess mitsteuern und koordinieren.;Basis
ISMS.1.A4;Benennung eines oder einer Informationssicherheitsbeauftragten;Die Institutionsleitung MUSS den oder die ISB mit angemessenen Ressourcen ausstatten.;Basis
ISMS.1.A4;Benennung eines oder einer Informationssicherheitsbeauftragten;Die Institutionsleitung MUSS dem oder der ISB die Möglichkeit einräumen, bei Bedarf direkt an sie selbst zu berichten.;Basis
ISMS.1.A4;Benennung eines oder einer Informationssicherheitsbeauftragten;Der oder die ISB MUSS bei allen größeren Projekten sowie bei der Einführung neuer Anwendungen und IT-Systeme frühzeitig beteiligt werden.;Basis
ISMS.1.A5;Vertragsgestaltung bei Bestellung eines oder einer externen Informationssicherheitsbeauftragten;Die Institutionsleitung MUSS einen externen oder eine externe ISB bestellen, wenn die Rolle des oder der ISB nicht durch einen internen Mitarbeitenden besetzt werden kann.;Basis
ISMS.1.A5;Vertragsgestaltung bei Bestellung eines oder einer externen Informationssicherheitsbeauftragten;Der Vertrag mit einem oder einer externen ISB MUSS alle Aufgaben des oder der ISB sowie die damit verbundenen Rechte und Pflichten umfassen.;Basis
ISMS.1.A5;Vertragsgestaltung bei Bestellung eines oder einer externen Informationssicherheitsbeauftragten;Der Vertrag MUSS eine geeignete Vertraulichkeitsvereinbarung umfassen.;Basis
ISMS.1.A5;Vertragsgestaltung bei Bestellung eines oder einer externen Informationssicherheitsbeauftragten;Der Vertrag MUSS eine kontrollierte Beendigung des Vertragsverhältnisses, einschließlich der Übergabe der Aufgaben an die Auftraggebenden, gewährleisten.;Basis
ISMS.1.A6;Aufbau einer geeigneten Organisationsstruktur für Informationssicherheit;Eine geeignete übergreifende Organisationsstruktur für Informationssicherheit MUSS vorhanden sein.;Basis
ISMS.1.A6;Aufbau einer geeigneten Organisationsstruktur für Informationssicherheit;Dafür MÜSSEN Rollen definiert sein, die konkrete Aufgaben übernehmen, um die Sicherheitsziele zu erreichen.;Basis
ISMS.1.A6;Aufbau einer geeigneten Organisationsstruktur für Informationssicherheit;Außerdem MÜSSEN qualifizierte Personen benannt werden, denen ausreichend Ressourcen zur Verfügung stehen, um diese Rollen zu übernehmen.;Basis
ISMS.1.A6;Aufbau einer geeigneten Organisationsstruktur für Informationssicherheit;Die Aufgaben, Rollen, Verantwortungen und Kompetenzen im Sicherheitsmanagement MÜSSEN nachvollziehbar definiert und zugewiesen sein.;Basis
ISMS.1.A6;Aufbau einer geeigneten Organisationsstruktur für Informationssicherheit;Für alle wichtigen Funktionen der Organisation für Informationssicherheit MUSS es wirksame Vertretungsregelungen geben.;Basis
ISMS.1.A6;Aufbau einer geeigneten Organisationsstruktur für Informationssicherheit;Kommunikationswege MÜSSEN geplant, beschrieben, eingerichtet und bekannt gemacht werden.;Basis
ISMS.1.A6;Aufbau einer geeigneten Organisationsstruktur für Informationssicherheit;Es MUSS für alle Aufgaben und Rollen festgelegt sein, wer wen informiert und wer bei welchen Aktionen in welchem Umfang informiert werden muss.;Basis
