ID-Anforderung;Titel;Inhalt;Typ
NET.4.1.A1;Anforderungsanalyse und Planung für TK-Anlagen;Vor der Beschaffung oder Erweiterung einer TK-Anlage MUSS eine Anforderungsanalyse durchgeführt werden.;Basis
NET.4.1.A1;Anforderungsanalyse und Planung für TK-Anlagen;Im Rahmen dieser Analyse MUSS festgelegt werden, welche Funktionen die TK-Anlage bieten soll.;Basis
NET.4.1.A1;Anforderungsanalyse und Planung für TK-Anlagen;Hierbei MÜSSEN neben der Ausprägung der TK-Anlage auch die Anzahl der benötigten Verbindungen und Anschlüsse festgelegt werden.;Basis
NET.4.1.A1;Anforderungsanalyse und Planung für TK-Anlagen;Auch eine mögliche Erweiterbarkeit und grundlegenden Sicherheitsfunktionen MÜSSEN bei der Planung betrachtet werden.;Basis
NET.4.1.A1;Anforderungsanalyse und Planung für TK-Anlagen;Darüber hinaus MÜSSEN je nach Bedarf Support- und Wartungsverträge für die TK-Anlage berücksichtigt werden.;Basis
NET.4.1.A1;Anforderungsanalyse und Planung für TK-Anlagen;Basierend auf den ermittelten Anforderungen MUSS anschließend der Einsatz der TK-Anlage geplant und dokumentiert werden.;Basis
NET.4.1.A1;Anforderungsanalyse und Planung für TK-Anlagen;Die zuvor ermittelten Anforderungen und die Planung MÜSSEN mit den entsprechenden IT-Zuständigen abgestimmt werden.;Basis
NET.4.1.A2;Auswahl von TK-Diensteanbietenden;Um mit Personen telefonieren zu können, deren Telefone nicht an die institutionseigene TK-Anlage angeschlossen sind, MUSS ein TK-Diensteanbieter oder TK-Diensteanbieterin beauftragt werden.;Basis
NET.4.1.A2;Auswahl von TK-Diensteanbietenden;Dabei MÜSSEN die Anforderungen an die TK-Anlage, die Sicherheitsrichtlinie sowie vertragliche und finanzielle Aspekte berücksichtigt werden.;Basis
NET.4.1.A2;Auswahl von TK-Diensteanbietenden;Alle vereinbarten Leistungen MÜSSEN eindeutig schriftlich festgehalten werden.;Basis
NET.4.1.A3;ENTFALLEN;Diese Anforderung ist entfallen.;Basis
NET.4.1.A4;ENTFALLEN;Diese Anforderung ist entfallen.;Basis
NET.4.1.A5;Protokollierung bei TK-Anlagen;Bei TK-Anlagen MÜSSEN geeignete Daten erfasst und bei Bedarf ausgewertet werden.;Basis
NET.4.1.A5;Protokollierung bei TK-Anlagen;Protokolliert werden MÜSSEN zusätzlich alle systemtechnischen Eingriffe, die Programmveränderungen beinhalten, sowie Auswertungsläufe, Datenübermittlungen und Datenzugriffe.;Basis
NET.4.1.A5;Protokollierung bei TK-Anlagen;Alle Administrationsarbeiten an der TK-Anlage MÜSSEN ebenfalls protokolliert werden.;Basis
NET.4.1.A5;Protokollierung bei TK-Anlagen;Die protokollierten Informationen SOLLTEN regelmäßig kontrolliert werden.;Basis
NET.4.1.A6;Erstellung einer Sicherheitsrichtlinie für TK-Anlagen;Basierend auf der institutionsweiten Sicherheitsrichtlinie SOLLTE eine eigene Sicherheitsrichtlinie für die TK-Anlage erstellt werden.;Standard
NET.4.1.A6;Erstellung einer Sicherheitsrichtlinie für TK-Anlagen;Diese Sicherheitsrichtlinie für die TK-Anlage SOLLTE grundlegende Aussagen zur Vertraulichkeit, Verfügbarkeit und Integrität beinhalten.;Standard
NET.4.1.A6;Erstellung einer Sicherheitsrichtlinie für TK-Anlagen;Sie SOLLTE allen Personen, die an der Beschaffung, dem Aufbau, der Umsetzung und dem Betrieb der TK-Anlage beteiligt sind, bekannt sein und die Grundlage für deren Arbeit darstellen.;Standard
NET.4.1.A6;Erstellung einer Sicherheitsrichtlinie für TK-Anlagen;Die zentralen sicherheitstechnischen Anforderungen an die TK-Anlage sowie das zu erreichende Sicherheitsniveau SOLLTEN in der institutionsweite Sicherheitsrichtlinie aufgenommen werden.;Standard
NET.4.1.A7;Geeignete Aufstellung der TK-Anlage;Die TK-Anlage SOLLTE in einem geeigneten Raum untergebracht sein.;Standard
NET.4.1.A7;Geeignete Aufstellung der TK-Anlage;Die Schnittstellen an der TK-Anlage, besonders nicht genutzte Schnittstellen, SOLLTEN geeignet geschützt werden.;Standard
NET.4.1.A8;Einschränkung und Sperrung nicht benötigter oder sicherheitskritischer Leistungsmerkmale;Der Umfang der verfügbaren Leistungsmerkmale SOLLTE auf das notwendige Minimum beschränkt werden.;Standard
NET.4.1.A8;Einschränkung und Sperrung nicht benötigter oder sicherheitskritischer Leistungsmerkmale;Nur die benötigten Leistungsmerkmale SOLLTEN freigeschaltet werden.;Standard
NET.4.1.A8;Einschränkung und Sperrung nicht benötigter oder sicherheitskritischer Leistungsmerkmale;Die nicht benötigten oder wegen ihres Missbrauchspotenzials als kritisch eingestuften Leistungsmerkmale SOLLTEN so weit wie möglich an der zentralen Anlage abgeschaltet werden.;Standard
NET.4.1.A8;Einschränkung und Sperrung nicht benötigter oder sicherheitskritischer Leistungsmerkmale;Zusätzliche Schutzmaßnahmen SOLLTEN für die auf den Endgeräten gespeicherten und abrufbaren vertraulichen Daten ergriffen werden.;Standard
NET.4.1.A9;Schulung zur sicheren Nutzung von TK-Anlagen;Die Benutzenden der TK-Anlage SOLLTEN in die korrekte Verwendung von Diensten und Geräten eingewiesen werden.;Standard
NET.4.1.A9;Schulung zur sicheren Nutzung von TK-Anlagen;Den Benutzenden der TK-Anlage SOLLTEN alle notwendigen Unterlagen zur Bedienung der entsprechenden Endgeräte zur Verfügung gestellt werden.;Standard
NET.4.1.A9;Schulung zur sicheren Nutzung von TK-Anlagen;Sämtliche Auffälligkeiten und Unregelmäßigkeiten der TK-Anlage SOLLTEN den entsprechenden Verantwortlichen gemeldet werden.;Standard
NET.4.1.A10;Dokumentation und Revision der TK-Anlagenkonfiguration;Die TK-Anlagenkonfiguration SOLLTE geeignet dokumentiert und fortgeschrieben werden.;Standard
NET.4.1.A10;Dokumentation und Revision der TK-Anlagenkonfiguration;Die TK-Anlagenkonfiguration SOLLTE in regelmäßigen Abständen überprüft werden.;Standard
NET.4.1.A10;Dokumentation und Revision der TK-Anlagenkonfiguration;Das Ergebnis der Prüfung SOLLTE zumindest den Informationssicherheitsbeauftragten, den Fachverantwortlichen und anderen verantwortlichen Mitarbeitenden vorgelegt werden.;Standard
NET.4.1.A11;Außerbetriebnahme von TK-Anlagen und -geräten;Die Aussonderung von TK-Anlagen und angeschlossenen TK-Geräten SOLLTE in der Sicherheitsrichtlinie berücksichtigt werden.;Standard
NET.4.1.A11;Außerbetriebnahme von TK-Anlagen und -geräten;Alle Daten, die auf TK-Anlagen oder Endgeräten gespeichert sind, SOLLTEN vor der Aussonderung sicher gelöscht werden.;Standard
NET.4.1.A12;Datensicherung der Konfigurationsdateien;Die Konfigurations- und Anwendungsdaten der eingesetzten TK-Anlage SOLLTEN bei der Ersteinrichtung und anschließend regelmäßig gesichert werden, insbesondere nachdem sich diese geändert haben.;Standard
NET.4.1.A12;Datensicherung der Konfigurationsdateien;Es SOLLTE regelmäßig geprüft und dokumentiert werden, ob die Sicherungen der TK-Anlagen auch tatsächlich als Basis für eine Systemwiederherstellung genutzt werden können.;Standard
NET.4.1.A12;Datensicherung der Konfigurationsdateien;Es SOLLTE ein Datensicherungskonzept für TK-Anlagen erstellt und mit den allgemeinen Konzepten der Datensicherung für Server und Netzkomponenten abgestimmt werden.;Standard
NET.4.1.A13;Beschaffung von TK-Anlagen;Bei der Beschaffung von TK-Anlagen SOLLTEN die Ergebnisse der Anforderungsanalyse und der Planung miteinbezogen werden.;Standard
NET.4.1.A13;Beschaffung von TK-Anlagen;Bei der Beschaffung einer TK-Anlage SOLLTE beachtet werden, dass sie neben digitalen auch analoge Teilnehmeranschlüsse anbieten sollte.;Standard
NET.4.1.A13;Beschaffung von TK-Anlagen;Darüber hinaus SOLLTEN vorhandene Kommunikationssysteme und -komponenten bei der Beschaffung berücksichtigt werden.;Standard
NET.4.1.A14;Notfallvorsorge für TK-Anlagen;Es SOLLTE ein Notfallplan für die TK-Anlage erstellt werden.;Standard
NET.4.1.A14;Notfallvorsorge für TK-Anlagen;Dieser SOLLTE in das Notfallkonzept der Institution integriert werden.;Standard
