ID-Anforderung;Titel;Inhalt;Typ
OPS.1.1.5.A1;Erstellung einer Sicherheitsrichtlinie für die Protokollierung;Ausgehend von der allgemeinen Sicherheitsrichtlinie der Institution MUSS eine spezifische Sicherheitsrichtlinie für die Protokollierung erstellt werden.;Basis
OPS.1.1.5.A1;Erstellung einer Sicherheitsrichtlinie für die Protokollierung;In dieser Sicherheitsrichtlinie MÜSSEN nachvollziehbar Anforderungen und Vorgaben beschrieben sein, wie die Protokollierung zu planen, aufzubauen und sicher zu betreiben ist.;Basis
OPS.1.1.5.A1;Erstellung einer Sicherheitsrichtlinie für die Protokollierung;In der spezifischen Sicherheitsrichtlinie MUSS geregelt werden, wie, wo und was zu protokollieren ist.;Basis
OPS.1.1.5.A1;Erstellung einer Sicherheitsrichtlinie für die Protokollierung;Dabei SOLLTEN sich Art und Umfang der Protokollierung am Schutzbedarf der Informationen orientieren.;Basis
OPS.1.1.5.A1;Erstellung einer Sicherheitsrichtlinie für die Protokollierung;Die spezifische Sicherheitsrichtlinie MUSS von dem oder der ISB gemeinsam mit den Fachverantwortlichen erstellt werden.;Basis
OPS.1.1.5.A1;Erstellung einer Sicherheitsrichtlinie für die Protokollierung;Sie MUSS allen für die Protokollierung zuständigen Mitarbeitenden bekannt und grundlegend für ihre Arbeit sein.;Basis
OPS.1.1.5.A1;Erstellung einer Sicherheitsrichtlinie für die Protokollierung;Wird die spezifische Sicherheitsrichtlinie verändert oder wird von den Anforderungen abgewichen, MUSS dies mit dem oder der ISB abgestimmt und dokumentiert werden.;Basis
OPS.1.1.5.A1;Erstellung einer Sicherheitsrichtlinie für die Protokollierung;Es MUSS regelmäßig überprüft werden, ob die spezifische Sicherheitsrichtlinie noch korrekt umgesetzt ist.;Basis
OPS.1.1.5.A1;Erstellung einer Sicherheitsrichtlinie für die Protokollierung;Die Ergebnisse der Überprüfung MÜSSEN dokumentiert werden.;Basis
OPS.1.1.5.A2;ENTFALLEN;Diese Anforderung ist entfallen.;Basis
OPS.1.1.5.A3;Konfiguration der Protokollierung auf System- und Netzebene;Alle sicherheitsrelevanten Ereignisse von IT-Systemen und Anwendungen MÜSSEN protokolliert werden.;Basis
OPS.1.1.5.A3;Konfiguration der Protokollierung auf System- und Netzebene;Sofern die in der Protokollierungsrichtlinie als relevant definierten IT-Systeme und Anwendungen über eine Protokollierungsfunktion verfügen, MUSS diese benutzt werden.;Basis
OPS.1.1.5.A3;Konfiguration der Protokollierung auf System- und Netzebene;Wenn die Protokollierung eingerichtet wird, MÜSSEN dabei die Vorgaben des herstellenden Unternehmens für die jeweiligen IT-Systeme oder Anwendungen beachtet werden.;Basis
OPS.1.1.5.A3;Konfiguration der Protokollierung auf System- und Netzebene;In angemessenen Intervallen MUSS stichpunktartig überprüft werden, ob die Protokollierung noch korrekt funktioniert.;Basis
OPS.1.1.5.A3;Konfiguration der Protokollierung auf System- und Netzebene;Die Prüfintervalle MÜSSEN in der Protokollierungsrichtlinie definiert werden.;Basis
OPS.1.1.5.A3;Konfiguration der Protokollierung auf System- und Netzebene;Falls betriebs- und sicherheitsrelevante Ereignisse nicht auf einem IT-System protokolliert werden können, MÜSSEN zusätzliche IT-Systeme zur Protokollierung (z. B. von Ereignissen auf Netzebene) integriert werden.;Basis
