ID-Anforderung;Titel;Inhalt;Typ
ORP.1.A1;Festlegung von Verantwortlichkeiten und Regelungen;Innerhalb einer Institution MÜSSEN alle relevanten Aufgaben und Funktionen klar definiert und voneinander abgegrenzt sein.;Basis
ORP.1.A1;Festlegung von Verantwortlichkeiten und Regelungen;Es MÜSSEN verbindliche Regelungen für die Informationssicherheit für die verschiedenen betrieblichen Aspekte übergreifend festgelegt werden.;Basis
ORP.1.A1;Festlegung von Verantwortlichkeiten und Regelungen;Die Organisationsstrukturen sowie verbindliche Regelungen MÜSSEN anlassbezogen überarbeitet werden.;Basis
ORP.1.A1;Festlegung von Verantwortlichkeiten und Regelungen;Die Änderungen MÜSSEN allen Mitarbeitenden bekannt gegeben werden.;Basis
ORP.1.A2;Zuweisung der Zuständigkeiten;Für alle Geschäftsprozesse, Anwendungen, IT-Systeme, Räume und Gebäude sowie Kommunikationsverbindungen MUSS festgelegt werden, wer für diese und deren Sicherheit zuständig ist.;Basis
ORP.1.A2;Zuweisung der Zuständigkeiten;Alle Mitarbeitenden MÜSSEN darüber informiert sein, insbesondere wofür sie zuständig sind und welche damit verbundenen Aufgaben sie wahrnehmen.;Basis
ORP.1.A3;Beaufsichtigung oder Begleitung von Fremdpersonen;Institutionsfremde Personen MÜSSEN von Mitarbeitenden zu den Räumen begleitet werden.;Basis
ORP.1.A3;Beaufsichtigung oder Begleitung von Fremdpersonen;Die Mitarbeitenden der Institution MÜSSEN institutionsfremde Personen in sensiblen Bereichen beaufsichtigen.;Basis
ORP.1.A3;Beaufsichtigung oder Begleitung von Fremdpersonen;Die Mitarbeitenden SOLLTEN dazu angehalten werden, institutionsfremde Personen in den Räumen der Institution nicht unbeaufsichtigt zu lassen.;Basis
ORP.1.A4;Funktionstrennung zwischen unvereinbaren Aufgaben;Die Aufgaben und die hierfür erforderlichen Rollen und Funktionen MÜSSEN so strukturiert sein, dass unvereinbare Aufgaben wie operative und kontrollierende Funktionen auf verschiedene Personen verteilt werden.;Basis
ORP.1.A4;Funktionstrennung zwischen unvereinbaren Aufgaben;Für unvereinbare Funktionen MUSS eine Funktionstrennung festgelegt und dokumentiert sein.;Basis
ORP.1.A4;Funktionstrennung zwischen unvereinbaren Aufgaben;Auch Vertreter MÜSSEN der Funktionstrennung unterliegen.;Basis
ORP.1.A5;ENTFALLEN;Diese Anforderung ist entfallen.;Basis
ORP.1.A15;Ansprechperson zu Informationssicherheitsfragen;In jeder Institution MUSS es Ansprechpersonen für Sicherheitsfragen geben, die sowohl scheinbar einfache wie auch komplexe oder technische Fragen beantworten können.;Basis
ORP.1.A15;Ansprechperson zu Informationssicherheitsfragen;Die Ansprechpersonen MÜSSEN allen Mitarbeitenden der Institution bekannt sein.;Basis
ORP.1.A15;Ansprechperson zu Informationssicherheitsfragen;Diesbezügliche Informationen MÜSSEN in der Institution für alle verfügbar und leicht zugänglich sein.;Basis
ORP.1.A6;ENTFALLEN;Diese Anforderung ist entfallen.;Standard
ORP.1.A7;ENTFALLEN;Diese Anforderung ist entfallen.;Standard
ORP.1.A8;Betriebsmittel- und Geräteverwaltung;Alle Geräte und Betriebsmittel, die Einfluss auf die Informationssicherheit haben und die zur Aufgabenerfüllung und zur Einhaltung der Sicherheitsanforderungen erforderlich sind, SOLLTEN in ausreichender Menge vorhanden sein.;Standard
ORP.1.A8;Betriebsmittel- und Geräteverwaltung;Es SOLLTE geeignete Prüf- und Genehmigungsverfahren vor Einsatz der Geräte und Betriebsmittel geben.;Standard
ORP.1.A8;Betriebsmittel- und Geräteverwaltung;Geräte und Betriebsmittel SOLLTEN in geeigneten Bestandsverzeichnissen aufgelistet werden.;Standard
ORP.1.A8;Betriebsmittel- und Geräteverwaltung;Um den Missbrauch von Daten zu verhindern, SOLLTE die zuverlässige Löschung oder Vernichtung von Geräten und Betriebsmitteln geregelt sein (siehe hierzu CON.6 Löschen und Vernichten).;Standard
ORP.1.A9;ENTFALLEN;Diese Anforderung ist entfallen.;Standard
ORP.1.A10;ENTFALLEN;Diese Anforderung ist entfallen.;Standard
ORP.1.A11;ENTFALLEN;Diese Anforderung ist entfallen.;Standard
ORP.1.A12;ENTFALLEN;Diese Anforderung ist entfallen.;Standard
ORP.1.A13;Sicherheit bei Umzügen;Vor einem Umzug SOLLTEN frühzeitig Sicherheitsrichtlinien erarbeitet bzw. aktualisiert werden.;Standard
ORP.1.A13;Sicherheit bei Umzügen;Alle Mitarbeitenden SOLLTEN über die vor, während und nach dem Umzug relevanten Sicherheitsmaßnahmen informiert werden.;Standard
ORP.1.A13;Sicherheit bei Umzügen;Nach dem Umzug SOLLTE überprüft werden, ob das transportierte Umzugsgut vollständig und unbeschädigt bzw. unverändert angekommen ist.;Standard
ORP.1.A16;Richtlinie zur sicheren IT-Nutzung;Es SOLLTE eine Richtlinie erstellt werden, in der für alle Mitarbeitenden transparent beschrieben wird, welche Rahmenbedingungen bei der IT-Nutzung eingehalten werden müssen und welche Sicherheitsmaßnahmen zu ergreifen sind.;Standard
ORP.1.A16;Richtlinie zur sicheren IT-Nutzung;Die Richtlinie SOLLTE folgende Punkte abdecken:;Standard
ORP.1.A16;Richtlinie zur sicheren IT-Nutzung;Sicherheitsziele der Institution,;Standard
ORP.1.A16;Richtlinie zur sicheren IT-Nutzung;wichtige Begriffe,;Standard
ORP.1.A16;Richtlinie zur sicheren IT-Nutzung;Aufgaben und Rollen mit Bezug zur Informationssicherheit,;Standard
ORP.1.A16;Richtlinie zur sicheren IT-Nutzung;Ansprechperson zu Fragen der Informationssicherheit sowie;Standard
ORP.1.A16;Richtlinie zur sicheren IT-Nutzung;von den Mitarbeitenden umzusetzende und einzuhaltende Sicherheitsmaßnahmen.;Standard
ORP.1.A16;Richtlinie zur sicheren IT-Nutzung;Die Richtlinie SOLLTE allen Benutzenden zur Kenntnis gegeben werden.;Standard
ORP.1.A16;Richtlinie zur sicheren IT-Nutzung;Jeder neue Benutzende SOLLTE die Kenntnisnahme und Beachtung der Richtlinie schriftlich bestätigen, bevor er die Informationstechnik nutzen darf.;Standard
ORP.1.A16;Richtlinie zur sicheren IT-Nutzung;Benutzende SOLLTEN die Richtlinie regelmäßig oder nach größeren Änderungen erneut bestätigen.;Standard
