ID-Anforderung;Titel;Inhalt;Typ
SYS.1.1.A1;Zugriffsschutz und Nutzung;Physische Server MÜSSEN an Orten betrieben werden, zu denen nur berechtigte Personen Zutritt haben.;Basis
SYS.1.1.A1;Zugriffsschutz und Nutzung;Physische Server MÜSSEN daher in Rechenzentren, Serverräumen oder abschließbaren Serverschränken aufgestellt beziehungsweise eingebaut werden (siehe hierzu die entsprechenden Bausteine der Schicht INF Infrastruktur).;Basis
SYS.1.1.A1;Zugriffsschutz und Nutzung;Bei virtualisierten Servern MUSS der Zugriff auf die Ressourcen der Instanz und deren Konfiguration ebenfalls auf die berechtigten Personen begrenzt werden.;Basis
SYS.1.1.A1;Zugriffsschutz und Nutzung;Server DÜRFEN NICHT als Arbeitsplatzrechner genutzt werden.;Basis
SYS.1.1.A1;Zugriffsschutz und Nutzung;Server DÜRFEN NICHT zur Erledigung von Aufgaben und Tätigkeiten verwendet werden, die grundsätzlich auf einem Client-System aus- und durchgeführt werden können.;Basis
SYS.1.1.A1;Zugriffsschutz und Nutzung;Insbesondere DÜRFEN vorhandene Anwendungen, wie Webbrowser, auf dem Server NICHT für das Abrufen von Informationen aus dem Internet oder das Herunterladen von Software, Treibern und Updates verwendet werden.;Basis
SYS.1.1.A1;Zugriffsschutz und Nutzung;Als Arbeitsplatz genutzte IT-Systeme DÜRFEN NICHT als Server genutzt werden.;Basis
SYS.1.1.A2;Authentisierung an Servern;Für die Anmeldung von Benutzenden und Diensten am Server MÜSSEN Authentisierungsverfahren eingesetzt werden, die dem Schutzbedarf der Server angemessen sind.;Basis
SYS.1.1.A2;Authentisierung an Servern;Dies SOLLTE in besonderem Maße für administrative Zugänge berücksichtigt werden.;Basis
SYS.1.1.A2;Authentisierung an Servern;Soweit möglich, SOLLTE dabei auf zentrale, netzbasierte Authentisierungsdienste zurückgegriffen werden.;Basis
SYS.1.1.A3;ENTFALLEN;Diese Anforderung ist entfallen.;Basis
SYS.1.1.A4;ENTFALLEN;Diese Anforderung ist entfallen.;Basis
SYS.1.1.A5;Schutz von Schnittstellen;Es MUSS gewährleistet werden, dass nur dafür vorgesehene Wechselspeicher und sonstige Geräte an die Server angeschlossen werden können.;Basis
SYS.1.1.A5;Schutz von Schnittstellen;Alle Schnittstellen, die nicht verwendet werden, MÜSSEN deaktiviert werden.;Basis
SYS.1.1.A6;Deaktivierung nicht benötigter Dienste;Alle nicht benötigten Serverrollen, Features und Funktionen, sonstige Software und Dienste MÜSSEN deaktiviert oder deinstalliert werden, vor allem Netzdienste.;Basis
SYS.1.1.A6;Deaktivierung nicht benötigter Dienste;Auch alle nicht benötigten Funktionen in der Firmware MÜSSEN deaktiviert werden.;Basis
SYS.1.1.A6;Deaktivierung nicht benötigter Dienste;Die Empfehlungen des Betriebssystemherstellers SOLLTEN hierbei als Orientierung berücksichtigt werden.;Basis
SYS.1.1.A6;Deaktivierung nicht benötigter Dienste;Auf Servern SOLLTE der Speicherplatz für die einzelnen Benutzenden, aber auch für Anwendungen, geeignet beschränkt werden.;Basis
SYS.1.1.A6;Deaktivierung nicht benötigter Dienste;Die getroffenen Entscheidungen SOLLTEN so dokumentiert werden, dass nachvollzogen werden kann, welche Konfiguration und Softwareausstattung für die Server gewählt wurden.;Basis
SYS.1.1.A7;ENTFALLEN;Diese Anforderung ist entfallen.;Basis
