ID-Anforderung;Titel;Inhalt;Typ
SYS.3.2.1.A1;Festlegung einer Richtlinie für den Einsatz von Smartphones und Tablets;Bevor eine Institution Smartphones oder Tablets bereitstellt, betreibt oder einsetzt, MUSS eine generelle Richtlinie für die Nutzung und Kontrolle der Geräte festgelegt werden.;Basis
SYS.3.2.1.A1;Festlegung einer Richtlinie für den Einsatz von Smartphones und Tablets;Hierbei MUSS unter anderem festgelegt werden, wer mit Smartphones auf welche Informationen der Institution zugreifen darf.;Basis
SYS.3.2.1.A2;Festlegung einer Strategie für die Cloud-Nutzung;Die Institution MUSS im Zusammenhang mit Smartphones und Tablets eine generelle Strategie für die Cloud-Nutzung sowie für den Schutz und die Kontrolle der Informationen festlegen.;Basis
SYS.3.2.1.A2;Festlegung einer Strategie für die Cloud-Nutzung;Die erlaubte Nutzung von Cloud-Diensten für Informationen der Institution MUSS geklärt und festgelegt werden.;Basis
SYS.3.2.1.A2;Festlegung einer Strategie für die Cloud-Nutzung;Es MUSS festgelegt werden, ob und in welchem Umfang Cloud-Dienste bei privater Nutzung der Geräte erlaubt sind.;Basis
SYS.3.2.1.A2;Festlegung einer Strategie für die Cloud-Nutzung;Die Benutzenden MÜSSEN regelmäßig bezüglich der Nutzung solcher Cloud-Dienste sensibilisiert werden.;Basis
SYS.3.2.1.A3;Sichere Grundkonfiguration für mobile Geräte;Alle mobilen Endgeräte MÜSSEN so konfiguriert sein, dass sie das erforderliche Schutzniveau angemessen erfüllen.;Basis
SYS.3.2.1.A3;Sichere Grundkonfiguration für mobile Geräte;Dafür MUSS eine passende Grundkonfiguration der Sicherheitsmechanismen und -einstellungen zusammengestellt und dokumentiert werden.;Basis
SYS.3.2.1.A3;Sichere Grundkonfiguration für mobile Geräte;Nicht benötigte Funktionen SOLLTEN deaktiviert werden.;Basis
SYS.3.2.1.A3;Sichere Grundkonfiguration für mobile Geräte;Die Freischaltung von Kommunikationsschnittstellen MUSS geregelt und auf das dienstlich notwendige Maß reduziert werden.;Basis
SYS.3.2.1.A3;Sichere Grundkonfiguration für mobile Geräte;Nicht benutzte Schnittstellen SOLLTEN deaktiviert werden.;Basis
SYS.3.2.1.A4;Verwendung eines Zugriffsschutzes;Smartphones und Tablets MÜSSEN mit einem angemessen komplexen Gerätesperrcode geschützt werden.;Basis
SYS.3.2.1.A4;Verwendung eines Zugriffsschutzes;Die Bildschirmsperre MUSS genutzt werden.;Basis
SYS.3.2.1.A4;Verwendung eines Zugriffsschutzes;Die Anzeige von vertraulichen Informationen auf dem Sperrbildschirm MUSS deaktiviert sein.;Basis
SYS.3.2.1.A4;Verwendung eines Zugriffsschutzes;Alle mobilen Geräte MÜSSEN nach einer angemessen kurzen Zeitspanne selbsttätig die Bildschirmsperre aktivieren.;Basis
SYS.3.2.1.A4;Verwendung eines Zugriffsschutzes;Diese Zeitspanne MUSS in Abhängigkeit zum angestrebten Schutzniveau stehen.;Basis
SYS.3.2.1.A4;Verwendung eines Zugriffsschutzes;Bei jedem fehlgeschlagenen Versuch, das Gerät zu entsperren, SOLLTE sich die Wartezeit zu einem neuen Versuch verlängern.;Basis
SYS.3.2.1.A4;Verwendung eines Zugriffsschutzes;Die Anzahl der Gerätesperrcodes, nach der sich ein Code wiederholen darf, SOLLTE festgelegt werden.;Basis
SYS.3.2.1.A4;Verwendung eines Zugriffsschutzes;Nach mehreren fehlgeschlagenen Versuchen, den Bildschirm zu entsperren, SOLLTE sich das mobile Gerät in den Werkszustand zurücksetzen.;Basis
SYS.3.2.1.A4;Verwendung eines Zugriffsschutzes;Es SOLLTEN dabei die Daten oder die Verschlüsselungsschlüssel sicher vernichtet werden.;Basis
SYS.3.2.1.A4;Verwendung eines Zugriffsschutzes;Es SOLLTE vermieden werden, dass die Benutzenden bei einem Passwortwechsel Kennworte nutzen, die erst vor Kurzem verwendet wurden.;Basis
SYS.3.2.1.A5;Updates von Betriebssystem und Apps;Bereits bei der Auswahl von zu beschaffenden mobilen Geräten MUSS die Institution darauf achten, dass die herstellende Institution angibt, über welchen geplanten Nutzungszeitraum Sicherheitsaktualisierungen für die Geräte bereitgestellt werden.;Basis
SYS.3.2.1.A5;Updates von Betriebssystem und Apps;Ältere Geräte, für die keine Aktualisierungen mehr bereitgestellt werden, MÜSSEN ausgesondert und durch von der herstellenden Institution unterstützte Geräte ersetzt werden.;Basis
SYS.3.2.1.A5;Updates von Betriebssystem und Apps;Apps SOLLTEN ebenfalls NICHT mehr eingesetzt werden, wenn sie nicht mehr durch die herstellende Institution unterstützt werden.;Basis
SYS.3.2.1.A6;Datenschutzeinstellungen und Berechtigungen;Der Zugriff von Apps und Betriebssystem auf Daten und Schnittstellen MUSS angemessen eingeschränkt werden.;Basis
SYS.3.2.1.A6;Datenschutzeinstellungen und Berechtigungen;Die Datenschutzeinstellungen MÜSSEN so restriktiv wie möglich konfiguriert werden.;Basis
